var,role,current_control,n,countries,coef,se,p_raw,std_effect,r2_base,r2_full,greece_resid_base,greece_rank_base,greece_resid_full,greece_rank_full,p_fdr,boot_p,boot_exceedances
acc_unmet_care,accumulated,,242,27,0.11416724639487394,0.12781790834998877,0.3717488605536343,0.303300405968938,0.22380437067839154,0.26885939204158504,47.74225660062523,1,47.70768764947082,1,0.3717488605536343,0.518,517.0
acc_not_good_health,accumulated,,242,27,-0.06513903890284042,0.05332766092055536,0.2219017248637536,0.200581330215236,0.22380437067839154,0.24983086097573826,47.74225660062523,1,46.95264160488962,1,0.29586896648500477,0.275,274.0
acc_chronic_illness,accumulated,,241,27,-0.15723351662980395,0.08220230540695138,0.05577841803436129,0.24789717514061152,0.2229829181675428,0.26642373394236796,47.64164433401183,1,46.37828817670492,1,0.22311367213744515,0.108,107.0
acc_activity_limitation,accumulated,,241,27,-0.14800315542576042,0.09381181044499522,0.11464370463197464,0.2373051444583292,0.22669036750942229,0.2641176603898535,47.570160176901766,1,46.32067477643685,1,0.22928740926394928,0.129,128.0
