geo,avg_residual_loo,candidate_coef,candidate_p,rank
CY,6.954691047864547,0.06687773777250948,0.003932553342678346,1
BE,6.040943773326177,0.08317666725746277,0.00015023755042280592,2
IT,4.472857399889888,0.07857076936640792,0.0004667771061746445,3
PT,4.383711082395043,0.06295656077581353,0.0017142403257371013,4
CZ,3.593806724620221,0.06943645612592302,0.0013627589235865251,5
LV,3.011247999886489,0.07480940972765845,0.00046365438028217373,6
BG,2.957410302155548,0.07847089056311371,0.0003126881490894508,7
FR,2.729623003860428,0.08067141014379244,0.000509832926735528,8
HR,2.691342202932733,0.0744585915750538,0.00047175540903926066,9
NL,2.578002844572166,0.0766106239916844,0.0006522450877105576,10
MT,1.9713993990259957,0.0741215669544658,0.0006456396794943548,11
LU,1.856823318700949,0.0694087430052483,0.01962109592756667,12
AT,1.518796680585065,0.07443985130164749,0.0007671937940225475,13
HU,1.239692233299135,0.07333133466729097,0.0008890110026090115,14
DK,0.40510238218710787,0.0745522044538585,0.0008922450221294763,15
SK,-0.6699733156594807,0.07965793846752946,0.0002719961839738583,16
IE,-1.5601097113568154,0.07110348590924877,0.0024035304902850193,17
SE,-1.8488046154651023,0.07510877440833487,0.0005457036544945014,18
EL,-2.655541367387923,0.0748978191298134,0.0008206039372527621,19
PL,-2.9945559757121636,0.08344497134331672,0.00048258535798670094,20
SI,-3.082759662073066,0.06675353922974399,0.0032601949550268463,21
ES,-3.6920487620007245,0.06508208071560727,0.0032142198093450844,22
DE,-3.7926586636924546,0.06847223094626692,0.0018157353839689024,23
EE,-4.036147453368256,0.0702578606346139,0.002285357007335274,24
LT,-4.861718500844834,0.07943876378880146,0.0003046622194478749,25
RO,-7.595864126855034,0.07793889151555607,0.00027531172324384956,26
FI,-11.847633765006268,0.0731896352457523,0.0010677443173753062,27
