exclude,coef,p
AT,0.1715,0.0001
BE,0.1694,0.0001
BG,0.1768,0.0001
CY,0.177,0.0001
CZ,0.1627,0.0002
DE,0.1632,0.0002
DK,0.1706,0.0001
EE,0.1611,0.0002
EL,0.164,0.0064
ES,0.1788,0.0
FI,0.1339,0.0005
FR,0.1734,0.0001
HR,0.171,0.0002
HU,0.1703,0.0001
IE,0.1638,0.0012
IT,0.168,0.0006
LT,0.1657,0.0001
LU,0.1715,0.0
LV,0.1968,0.0
MT,0.1721,0.0001
NL,0.1724,0.0002
PL,0.1683,0.0002
PT,0.1537,0.0004
RO,0.1739,0.0001
SE,0.169,0.0002
SI,0.1672,0.0004
SK,0.1733,0.0001
