var,name,n,countries,coef,se,p_raw,p_fdr,fdr_rejected
unmet_care,Unmet medical care,215,27,0.11320304945857435,0.19888091506380184,0.5692203094254312,0.5692203094254312,False
not_good_health,Not good or very good health,215,27,0.16432368831278915,0.12992796123909484,0.20596841372851138,0.2746245516380152,False
chronic_illness,Long-standing illness,214,27,0.18955043758117968,0.13080006358633814,0.14729244112875506,0.2746245516380152,False
activity_limitation,Activity limitation,214,27,0.12397612197445551,0.0769383950203777,0.10709938394880952,0.2746245516380152,False
