geo,avg_subjective_poverty_2003_2008
BG,68.55
EL,50.61666666666667
RO,49.05
CY,47.325
LV,44.65
PL,43.550000000000004
HU,39.375
PT,38.68
MT,38.1
IT,36.260000000000005
SK,32.75
ES,29.619999999999997
CZ,28.425
LT,27.150000000000002
SI,24.45
IE,23.900000000000002
BE,17.683333333333334
FR,16.34
NL,13.075
EE,13.040000000000001
AT,11.283333333333333
SE,8.92
FI,8.34
DE,8.1
DK,7.566666666666667
LU,6.583333333333333
