geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,pct_below_peak,d_subjective_poverty,d2_subjective_poverty,d_arop,d2_arop,d_unemployment_rate,d2_unemployment_rate,d_real_gdp_pc,d2_real_gdp_pc,d_severe_mat_soc_deprivation,d2_severe_mat_soc_deprivation,d_aic_pps_pc,d2_aic_pps_pc,d_housing_cost_overburden,d2_housing_cost_overburden,d_arrears,d2_arrears,d_unexpected_expenses,d2_unexpected_expenses
AT,2015,13.4,13.9,6.1,43200.0,2.9,23093.3,35700.0,6.4,6.4,22.6,43.2,23.0933,35.7,0.5753739930955121,,,,,,,,,,,,,,,,,,
AT,2016,12.8,14.1,6.5,43550.0,3.3,23408.9,36400.0,7.2,6.5,22.6,43.55,23.408900000000003,36.4,0.0,-0.5999999999999996,,0.1999999999999993,,0.40000000000000036,,350.0,,0.3999999999999999,,315.6000000000022,,0.7999999999999998,,0.09999999999999964,,0.0,
AT,2017,11.5,14.4,5.9,44260.0,3.4,23882.3,37000.0,7.1,5.9,20.6,44.26,23.8823,37.0,0.0,-1.3000000000000007,-0.7000000000000011,0.3000000000000007,0.10000000000000142,-0.5999999999999996,-1.0,710.0,360.0,0.10000000000000009,-0.2999999999999998,473.3999999999978,157.79999999999563,-0.10000000000000053,-0.9000000000000004,-0.5999999999999996,-0.6999999999999993,-2.0,-2.0
AT,2018,11.3,14.3,5.2,45140.0,2.8,24516.7,38400.0,6.8,4.9,20.1,45.14,24.5167,38.4,0.0,-0.1999999999999993,1.1000000000000014,-0.09999999999999964,-0.40000000000000036,-0.7000000000000002,-0.10000000000000053,880.0,170.0,-0.6000000000000001,-0.7000000000000002,634.4000000000015,161.00000000000364,-0.2999999999999998,-0.1999999999999993,-1.0,-0.40000000000000036,-0.5,1.5
AT,2019,10.7,13.3,4.8,45730.0,2.7,24965.0,39300.0,7.0,4.3,18.5,45.73,24.965,39.3,0.0,-0.6000000000000014,-0.40000000000000213,-1.0,-0.9000000000000004,-0.40000000000000036,0.2999999999999998,590.0,-290.0,-0.09999999999999964,0.5000000000000004,448.2999999999993,-186.10000000000218,0.20000000000000018,0.5,-0.6000000000000005,0.39999999999999947,-1.6000000000000014,-1.1000000000000014
AT,2020,9.4,13.9,6.0,42650.0,3.0,23604.3,37400.0,6.3,5.3,17.6,42.65,23.6043,37.4,6.735184780231795,-1.299999999999999,-0.6999999999999975,0.5999999999999996,1.5999999999999996,1.2000000000000002,1.6000000000000005,-3080.0,-3670.0,0.2999999999999998,0.39999999999999947,-1360.7000000000007,-1809.0,-0.7000000000000002,-0.9000000000000004,1.0,1.6000000000000005,-0.8999999999999986,0.7000000000000028
AT,2021,10.1,14.7,6.2,44580.0,1.8,25686.7,40200.0,6.1,4.8,18.6,44.58,25.6867,40.2,2.514760551060573,0.6999999999999993,1.9999999999999982,0.7999999999999989,0.1999999999999993,0.20000000000000018,-1.0,1930.0,5010.0,-1.2,-1.4999999999999998,2082.4000000000015,3443.100000000002,-0.20000000000000018,0.5,-0.5,-1.5,1.0,1.8999999999999986
AT,2022,11.9,14.8,4.8,46430.0,2.3,28670.4,44600.0,7.4,4.7,19.0,46.43,28.6704,44.6,0.0,1.8000000000000007,1.1000000000000014,0.10000000000000142,-0.6999999999999975,-1.4000000000000004,-1.6000000000000005,1850.0,-80.0,0.4999999999999998,1.6999999999999997,2983.7000000000007,901.2999999999993,1.3000000000000007,1.5000000000000009,-0.09999999999999964,0.40000000000000036,0.3999999999999986,-0.6000000000000014
AT,2023,13.6,14.9,5.1,45670.0,3.7,30138.3,46400.0,6.0,6.9,22.8,45.67,30.1383,46.4,1.6368727116088735,1.6999999999999993,-0.10000000000000142,0.09999999999999964,-1.7763568394002505e-15,0.2999999999999998,1.7000000000000002,-760.0,-2610.0,1.4000000000000004,0.9000000000000006,1467.8999999999978,-1515.800000000003,-1.4000000000000004,-2.700000000000001,2.2,2.3,3.8000000000000007,3.400000000000002
AT,2024,13.1,14.3,5.2,45140.0,3.7,31379.6,47500.0,6.3,7.5,20.9,45.14,31.3796,47.5,2.7783760499676933,-0.5,-2.1999999999999993,-0.5999999999999996,-0.6999999999999993,0.10000000000000053,-0.1999999999999993,-530.0,230.0,0.0,-1.4000000000000004,1241.2999999999993,-226.59999999999854,0.2999999999999998,1.7000000000000002,0.5999999999999996,-1.6000000000000005,-1.9000000000000021,-5.700000000000003
BE,2015,20.5,14.9,8.7,40310.0,7.2,22339.7,33100.0,9.4,6.9,25.7,40.31,22.3397,33.1,0.0,,,,,,,,,,,,,,,,,,
BE,2016,21.5,15.5,7.9,40590.0,8.4,22670.2,33600.0,9.8,7.0,26.0,40.59,22.6702,33.6,0.0,1.0,,0.5999999999999996,,-0.7999999999999989,,280.0,,1.2000000000000002,,330.5,,0.40000000000000036,,0.09999999999999964,,0.3000000000000007,
BE,2017,20.9,15.9,7.2,41030.0,7.2,23338.4,34500.0,9.4,5.4,25.5,41.03,23.3384,34.5,0.0,-0.6000000000000014,-1.6000000000000014,0.40000000000000036,-0.1999999999999993,-0.7000000000000002,0.09999999999999876,440.0,160.0,-1.2000000000000002,-2.4000000000000004,668.2000000000007,337.7000000000007,-0.40000000000000036,-0.8000000000000007,-1.5999999999999996,-1.6999999999999993,-0.5,-0.8000000000000007
BE,2018,19.1,16.4,6.0,41610.0,6.5,24076.4,35600.0,8.9,6.1,24.5,41.61,24.076400000000003,35.6,0.0,-1.7999999999999972,-1.1999999999999957,0.4999999999999982,0.09999999999999787,-1.2000000000000002,-0.5,580.0,140.0,-0.7000000000000002,0.5,738.0,69.79999999999927,-0.5,-0.09999999999999964,0.6999999999999993,2.299999999999999,-1.0,-0.5
BE,2019,19.1,14.8,5.5,42400.0,6.2,24638.0,36900.0,8.4,5.6,25.3,42.4,24.638,36.9,0.0,0.0,1.7999999999999972,-1.5999999999999979,-2.099999999999996,-0.5,0.7000000000000002,790.0,210.0,-0.2999999999999998,0.40000000000000036,561.5999999999985,-176.40000000000146,-0.5,0.0,-0.5,-1.1999999999999993,0.8000000000000007,1.8000000000000007
BE,2020,16.8,14.1,5.8,40190.0,6.7,23612.1,35900.0,7.7,5.6,23.2,40.19,23.6121,35.9,5.212264150943396,-2.3000000000000007,-2.3000000000000007,-0.7000000000000011,0.8999999999999968,0.2999999999999998,0.7999999999999998,-2210.0,-3000.0,0.5,0.7999999999999998,-1025.9000000000015,-1587.5,-0.7000000000000002,-0.20000000000000018,0.0,0.5,-2.1000000000000014,-2.900000000000002
BE,2021,15.6,12.8,6.3,42530.0,6.2,25314.9,38700.0,7.6,4.1,22.3,42.53,25.3149,38.7,0.0,-1.200000000000001,1.0999999999999996,-1.299999999999999,-0.5999999999999979,0.5,0.20000000000000018,2340.0,4550.0,-0.5,-1.0,1702.800000000003,2728.7000000000044,-0.10000000000000053,0.5999999999999996,-1.5,-1.5,-0.8999999999999986,1.2000000000000028
BE,2022,16.7,13.1,5.6,43890.0,5.7,28396.9,42500.0,7.5,4.2,22.7,43.89,28.3969,42.5,0.0,1.0999999999999996,2.3000000000000007,0.29999999999999893,1.5999999999999979,-0.7000000000000002,-1.2000000000000002,1360.0,-980.0,-0.5,0.0,3082.0,1379.199999999997,-0.09999999999999964,8.881784197001252e-16,0.10000000000000053,1.6000000000000005,0.3999999999999986,1.2999999999999972
BE,2023,15.5,12.4,5.5,44190.0,6.1,30338.0,45400.0,7.8,4.7,21.6,44.19,30.338,45.4,0.0,-1.1999999999999993,-2.299999999999999,-0.6999999999999993,-0.9999999999999982,-0.09999999999999964,0.6000000000000005,300.0,-1060.0,0.39999999999999947,0.8999999999999995,1941.0999999999985,-1140.9000000000015,0.2999999999999998,0.39999999999999947,0.5,0.39999999999999947,-1.0999999999999979,-1.4999999999999964
BE,2024,17.1,11.4,5.7,44410.0,6.2,31479.6,46600.0,6.7,5.0,21.6,44.41,31.4796,46.6,0.0,1.6000000000000014,2.8000000000000007,-1.0,-0.3000000000000007,0.20000000000000018,0.2999999999999998,220.0,-80.0,0.10000000000000053,-0.29999999999999893,1141.5999999999985,-799.5,-1.0999999999999996,-1.3999999999999995,0.2999999999999998,-0.20000000000000018,0.0,1.0999999999999979
BG,2015,64.0,22.0,10.1,8130.0,36.8,9522.7,13600.0,14.8,33.6,53.4,8.13,9.5227,13.6,0.0,,,,,,,,,,,,,,,,,,
BG,2016,61.7,22.9,8.6,8490.0,33.5,9841.1,14400.0,20.7,34.2,54.2,8.49,9.8411,14.4,0.0,-2.299999999999997,,0.8999999999999986,,-1.5,,360.0,,-3.299999999999997,,318.39999999999964,,5.899999999999999,,0.6000000000000014,,0.8000000000000043,
BG,2017,58.4,23.4,7.2,8840.0,30.0,10396.1,15300.0,18.9,33.3,53.2,8.84,10.3961,15.3,0.0,-3.3000000000000043,-1.000000000000007,0.5,-0.3999999999999986,-1.3999999999999995,0.10000000000000053,350.0,-10.0,-3.5,-0.20000000000000284,555.0,236.60000000000036,-1.8000000000000007,-7.699999999999999,-0.9000000000000057,-1.500000000000007,-1.0,-1.8000000000000043
BG,2018,55.9,22.0,6.2,9170.0,22.3,11035.1,16300.0,17.9,31.9,32.1,9.17,11.0351,16.3,0.0,-2.5,0.8000000000000043,-1.3999999999999986,-1.8999999999999986,-1.0,0.39999999999999947,330.0,-20.0,-7.699999999999999,-4.199999999999999,639.0,84.0,-1.0,0.8000000000000007,-1.3999999999999986,-0.4999999999999929,-21.1,-20.1
BG,2019,50.099999999999994,22.6,5.2,9650.0,22.1,11743.7,17400.0,16.0,29.3,36.5,9.65,11.7437,17.4,0.0,-5.800000000000004,-3.3000000000000043,0.6000000000000014,2.0,-1.0,0.0,480.0,150.0,-0.1999999999999993,7.5,708.6000000000004,69.60000000000036,-1.8999999999999986,-0.8999999999999986,-2.599999999999998,-1.1999999999999993,4.399999999999999,25.5
