geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k
CZ,2023,13.4,9.8,2.6,21680.0,2.7,20493.2,35000.0,9.1,2.9,19.7,21.68,20.4932,35.0
CZ,2024,14.2,9.5,2.6,21950.0,2.6,21409.1,36200.0,9.2,3.4,19.2,21.95,21.4091,36.2
DE,2015,7.6,16.7,4.4,41230.0,5.7,23061.9,35100.0,15.6,5.2,30.4,41.23,23.0619,35.1
DE,2016,6.8999999999999995,16.5,3.9,41880.0,4.7,23681.8,36000.0,15.8,4.2,30.0,41.88,23.6818,36.0
DE,2017,6.1,16.1,3.5,42960.0,3.7,24376.9,37500.0,14.5,4.4,29.3,42.96,24.376900000000003,37.5
DE,2018,5.9,16.0,3.2,43390.0,3.4,25091.1,38500.0,14.2,4.6,28.1,43.39,25.091099999999997,38.5
DE,2019,5.1,14.8,2.9,43790.0,3.0,25507.3,39000.0,13.9,3.7,26.0,43.79,25.5073,39.0
DE,2020,5.7,16.1,3.6,42020.0,4.4,24546.0,38000.0,9.0,5.2,37.6,42.02,24.546,38.0
DE,2021,6.699999999999999,16.0,3.6,43730.0,4.3,25935.9,40500.0,11.0,5.6,32.3,43.73,25.9359,40.5
DE,2022,8.5,14.8,3.1,44230.0,6.2,28646.9,43300.0,11.9,5.9,33.9,44.23,28.646900000000002,43.3
DE,2023,9.7,14.4,3.1,43450.0,6.9,29631.7,45100.0,13.0,8.3,35.0,43.45,29.631700000000002,45.1
DE,2024,7.300000000000001,15.5,3.5,43110.0,6.2,30746.4,46400.0,12.0,7.2,32.2,43.11,30.7464,46.4
DK,2015,10.4,12.2,6.3,50810.0,3.2,23061.2,35200.0,15.1,6.3,26.5,50.81,23.0612,35.2
DK,2016,10.0,11.9,6.0,51950.0,2.6,23446.3,36000.0,15.1,5.8,24.5,51.95,23.4463,36.0
DK,2017,9.4,12.4,5.8,53200.0,3.6,24479.3,38000.0,15.7,6.0,25.1,53.2,24.4793,38.0
DK,2018,9.3,12.7,5.1,53920.0,3.5,25301.7,38800.0,14.7,8.7,25.2,53.92,25.3017,38.8
DK,2019,9.4,12.5,5.0,54630.0,3.8,25569.9,39400.0,15.6,7.3,22.9,54.63,25.5699,39.4
DK,2020,8.5,12.1,5.6,53540.0,3.5,25739.5,40100.0,14.1,7.7,22.7,53.54,25.7395,40.1
DK,2021,8.1,12.3,5.1,56780.0,3.1,27852.1,44200.0,15.5,6.3,19.5,56.78,27.8521,44.2
DK,2022,10.3,12.4,4.5,56530.0,3.2,28675.2,48500.0,14.7,6.7,20.2,56.53,28.6752,48.5
DK,2023,13.2,11.8,5.1,56770.0,4.9,29375.7,48400.0,15.4,7.8,23.1,56.77,29.375700000000002,48.4
DK,2024,12.8,11.6,6.2,58670.0,4.0,30354.4,50800.0,14.6,6.9,21.1,58.67,30.354400000000002,50.8
EE,2015,16.200000000000003,21.6,6.4,18650.0,3.5,13380.0,21400.0,6.8,9.3,36.7,18.65,13.38,21.4
EE,2016,15.4,21.7,6.8,19190.0,2.2,13928.1,22200.0,4.9,8.9,31.6,19.19,13.9281,22.2
EE,2017,14.3,21.0,5.8,20270.0,4.0,14548.7,23700.0,4.8,7.3,36.3,20.27,14.5487,23.7
EE,2018,13.9,21.9,5.4,20970.0,3.1,15516.2,25200.0,4.0,8.0,34.7,20.97,15.516200000000001,25.2
EE,2019,11.2,21.7,4.5,21650.0,2.6,16237.7,26400.0,4.4,8.5,31.4,21.65,16.2377,26.4
EE,2020,9.1,20.7,6.9,20960.0,2.3,16246.2,26000.0,4.4,5.7,30.5,20.96,16.2462,26.0
EE,2021,7.8,20.6,6.2,22670.0,1.9,17468.6,28200.0,4.4,5.7,27.1,22.67,17.4686,28.2
EE,2022,9.5,22.8,5.6,22370.0,3.3,19154.8,30000.0,4.9,5.8,31.2,22.37,19.154799999999998,30.0
EE,2023,11.6,22.5,6.4,21210.0,2.5,19997.2,30600.0,7.6,5.8,30.4,21.21,19.9972,30.6
EE,2024,9.9,20.2,7.6,21060.0,3.1,20716.4,31600.0,8.6,7.1,34.7,21.06,20.7164,31.6
EL,2015,77.7,21.4,25.0,16100.0,17.6,14769.7,19100.0,45.5,49.3,53.4,16.1,14.7697,19.1
EL,2016,76.80000000000001,21.2,23.9,16160.0,18.4,14785.5,19100.0,40.5,47.9,53.6,16.16,14.7855,19.1
EL,2017,77.19999999999999,20.2,21.8,16430.0,18.3,15372.2,19700.0,39.6,44.9,52.7,16.43,15.372200000000001,19.7
EL,2018,74.1,18.5,19.7,16810.0,16.1,15833.2,20200.0,39.5,43.0,50.4,16.81,15.833200000000001,20.2
EL,2019,71.0,17.9,17.9,17210.0,15.8,16372.1,20800.0,36.2,41.4,47.8,17.21,16.3721,20.8
EL,2020,69.80000000000001,17.7,17.6,15660.0,14.9,15474.7,18900.0,33.3,36.9,50.7,15.66,15.4747,18.9
EL,2021,71.0,19.6,14.7,17110.0,13.9,16771.9,21200.0,28.8,36.4,46.3,17.11,16.771900000000002,21.2
EL,2022,68.4,18.8,12.5,18160.0,13.9,19402.0,24000.0,26.7,45.5,43.6,18.16,19.402,24.0
EL,2023,67.0,18.9,11.1,18600.0,13.5,20701.1,26300.0,28.5,47.3,44.3,18.6,20.7011,26.3
EL,2024,66.7,19.6,10.1,19020.0,14.0,21309.9,27400.0,28.9,42.8,43.9,19.02,21.309900000000003,27.4
ES,2015,35.2,22.1,22.1,24720.0,7.4,17581.9,25400.0,10.3,11.7,39.8,24.72,17.5819,25.4
ES,2016,35.6,22.3,19.6,25420.0,8.5,18045.3,26100.0,10.2,10.6,38.7,25.42,18.0453,26.1
ES,2017,25.1,21.6,17.2,26110.0,8.3,18938.2,27400.0,9.8,9.3,36.6,26.11,18.938200000000002,27.4
ES,2018,27.1,21.5,15.3,26620.0,8.7,19208.8,27900.0,8.9,9.4,35.9,26.62,19.2088,27.9
ES,2019,22.0,20.7,14.1,26930.0,7.7,19626.2,28700.0,8.5,8.1,33.9,26.93,19.6262,28.7
ES,2020,22.8,21.0,15.5,23850.0,8.5,17386.0,25100.0,8.2,13.5,35.4,23.85,17.386,25.1
ES,2021,21.6,21.7,14.9,25440.0,8.3,19479.0,28300.0,9.9,14.3,33.5,25.44,19.479,28.3
ES,2022,22.1,20.4,13.0,26820.0,7.7,21735.1,31800.0,9.2,13.2,35.5,26.82,21.7351,31.8
ES,2023,22.6,20.2,12.2,27150.0,9.0,23349.0,34800.0,8.2,13.6,37.2,27.15,23.349,34.8
ES,2024,21.9,19.7,11.4,27800.0,8.3,24394.9,36400.0,7.8,14.2,35.9,27.8,24.3949,36.4
FI,2015,7.0,12.4,9.4,40700.0,1.0,21426.5,30400.0,4.9,10.3,28.4,40.7,21.4265,30.4
FI,2016,6.8999999999999995,11.6,8.9,41640.0,1.2,21668.6,31000.0,4.4,10.9,29.4,41.64,21.668599999999998,31.0
FI,2017,6.7,11.5,8.7,42910.0,1.8,22078.3,32400.0,4.3,10.8,28.5,42.91,22.0783,32.4
FI,2018,6.1,12.0,7.5,43360.0,2.2,22644.7,33400.0,4.3,10.7,27.2,43.36,22.6447,33.4
FI,2019,6.4,11.6,6.8,43910.0,1.9,22902.2,34000.0,4.0,10.5,26.4,43.91,22.9022,34.0
FI,2020,6.8,12.2,7.7,42740.0,1.8,22799.5,34000.0,4.1,10.0,25.4,42.74,22.7995,34.0
FI,2021,5.9,10.8,7.7,43800.0,1.1,24376.2,36200.0,4.3,8.2,23.5,43.8,24.3762,36.2
FI,2022,6.1,12.7,6.8,44010.0,1.9,25703.8,38400.0,5.4,7.7,23.2,44.01,25.703799999999998,38.4
FI,2023,7.5,12.2,7.2,43280.0,2.8,27599.2,39700.0,5.5,9.5,26.0,43.28,27.5992,39.7
FI,2024,8.9,12.6,8.4,43330.0,3.7,28516.3,40800.0,5.4,11.2,27.3,43.33,28.516299999999998,40.8
FR,2015,19.9,13.6,10.3,35370.0,6.8,20603.5,29500.0,5.7,8.9,32.8,35.37,20.6035,29.5
FR,2016,19.2,13.6,10.1,35540.0,6.7,20943.3,29900.0,5.2,8.8,31.8,35.54,20.9433,29.9
FR,2017,18.1,13.2,9.4,36140.0,6.3,21396.0,30600.0,5.0,9.1,29.6,36.14,21.396,30.6
FR,2018,18.3,13.4,9.0,36570.0,6.7,21964.4,31500.0,4.7,9.1,31.4,36.57,21.9644,31.5
FR,2019,16.8,13.6,8.4,37160.0,7.3,22999.0,33200.0,5.5,8.4,30.6,37.16,22.999,33.2
FR,2020,18.5,14.2,8.0,34230.0,6.4,22048.7,31600.0,5.6,9.1,30.5,34.23,22.0487,31.6
FR,2021,16.6,14.3,7.9,36460.0,5.5,23127.5,33400.0,,10.1,27.6,36.46,23.1275,33.4
FR,2022,21.7,15.6,7.3,37280.0,7.0,24599.7,35100.0,6.5,10.2,31.4,37.28,24.599700000000002,35.1
FR,2023,22.1,15.4,7.3,37730.0,6.6,26696.6,38100.0,6.5,10.0,29.4,37.73,26.6966,38.1
FR,2024,21.8,15.9,7.4,38180.0,6.6,27457.0,39300.0,7.0,10.6,29.4,38.18,27.457,39.3
HR,2015,54.4,20.0,16.2,11760.0,8.4,11850.9,17100.0,7.2,29.9,59.8,11.76,11.8509,17.1
HR,2016,51.4,19.5,13.0,12320.0,7.3,12267.4,18000.0,6.4,26.4,57.7,12.32,12.2674,18.0
HR,2017,43.9,20.0,11.1,12910.0,7.1,13015.9,19200.0,5.8,21.9,56.2,12.91,13.0159,19.2
HR,2018,42.7,19.3,8.3,13460.0,6.1,13705.5,20200.0,5.1,18.6,52.9,13.46,13.7055,20.2
