geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k
PL,2019,15.7,15.4,3.3,14310.0,3.5,15778.5,23300.0,6.0,7.4,29.3,14.31,15.7785,23.3
PL,2020,15.9,14.8,3.2,14310.0,2.6,16012.3,23900.0,4.9,5.5,25.7,14.31,16.0123,23.9
PL,2021,13.7,14.8,3.4,15380.0,2.9,17531.9,26200.0,5.7,7.0,24.5,15.38,17.5319,26.2
PL,2022,15.3,13.7,2.9,15840.0,2.8,19189.4,28100.0,5.6,6.0,27.1,15.84,19.189400000000003,28.1
PL,2023,15.1,14.0,2.8,15950.0,3.0,20101.3,29500.0,5.9,5.1,25.7,15.95,20.1013,29.5
PL,2024,11.5,13.8,2.9,16510.0,2.3,21610.1,31500.0,5.2,4.2,22.8,16.51,21.6101,31.5
PT,2015,40.400000000000006,19.5,13.0,18920.0,10.9,15936.2,21200.0,9.1,10.2,40.7,18.92,15.936200000000001,21.2
PT,2016,36.7,19.0,11.5,19350.0,9.1,16332.4,21900.0,7.5,9.3,38.3,19.35,16.3324,21.9
PT,2017,33.599999999999994,18.3,9.2,20020.0,8.0,16604.9,22600.0,6.7,7.7,36.9,20.02,16.6049,22.6
PT,2018,29.200000000000003,17.3,7.2,20620.0,6.6,17246.3,23500.0,5.7,6.6,34.7,20.62,17.246299999999998,23.5
PT,2019,25.799999999999997,17.2,6.6,21150.0,5.6,17927.9,24500.0,5.7,5.8,33.0,21.15,17.9279,24.5
PT,2020,20.7,16.2,7.1,19360.0,5.4,16927.2,22800.0,4.1,5.4,30.8,19.36,16.9272,22.8
PT,2021,20.9,18.4,6.7,20390.0,6.0,18210.3,24600.0,5.9,6.8,31.2,20.39,18.2103,24.6
PT,2022,23.299999999999997,16.4,6.2,21690.0,5.3,20584.0,27800.0,5.0,6.1,29.9,21.69,20.584,27.8
PT,2023,23.6,17.0,6.5,22130.0,4.9,22201.7,31100.0,4.9,5.2,30.5,22.13,22.201700000000002,31.1
PT,2024,21.799999999999997,16.6,6.5,22370.0,4.3,23356.1,32900.0,6.9,5.7,28.7,22.37,23.356099999999998,32.9
RO,2015,45.599999999999994,25.4,8.4,9430.0,34.0,10554.7,15500.0,15.9,19.6,51.4,9.43,10.5547,15.5
RO,2016,44.1,25.3,7.2,9760.0,35.9,11483.2,16600.0,14.4,19.7,54.5,9.76,11.4832,16.6
RO,2017,37.4,23.6,6.1,10620.0,32.4,12952.5,18500.0,12.3,17.3,52.5,10.62,12.9525,18.5
RO,2018,36.0,23.5,5.3,11260.0,28.3,14157.9,19900.0,10.3,16.5,45.9,11.26,14.1579,19.9
RO,2019,32.0,23.8,4.9,11760.0,24.5,15281.6,21700.0,8.6,15.4,44.3,11.76,15.281600000000001,21.7
RO,2020,35.900000000000006,23.4,6.1,11390.0,25.3,15181.0,21800.0,7.1,14.8,47.3,11.39,15.181,21.8
RO,2021,29.0,22.5,5.6,12130.0,23.1,16617.0,23900.0,7.5,9.4,47.3,12.13,16.617,23.9
RO,2022,26.0,21.2,5.6,12690.0,24.3,18368.7,25900.0,8.5,18.4,47.9,12.69,18.3687,25.9
RO,2023,27.7,21.1,5.6,12970.0,19.8,19918.5,28700.0,9.1,14.4,46.4,12.97,19.9185,28.7
RO,2024,23.8,19.0,5.4,13090.0,17.2,21712.3,30800.0,4.7,15.3,40.0,13.09,21.7123,30.8
SE,2015,7.1,16.3,7.5,45790.0,1.1,23147.4,35100.0,8.7,6.0,19.8,45.79,23.1474,35.1
SE,2016,7.6,16.2,7.1,46220.0,0.7,23161.3,34900.0,8.5,5.4,20.7,46.22,23.1613,34.9
SE,2017,7.0,15.8,6.8,46420.0,1.0,23409.6,35300.0,8.4,5.1,19.7,46.42,23.409599999999998,35.3
SE,2018,8.0,16.4,6.5,46700.0,1.4,23794.4,35900.0,8.3,4.7,20.2,46.7,23.794400000000003,35.9
SE,2019,7.6,17.1,6.9,47410.0,1.5,23994.3,37000.0,9.4,4.8,20.5,47.41,23.9943,37.0
SE,2020,7.4,16.1,8.5,46180.0,2.0,23663.2,36700.0,8.3,4.9,19.8,46.18,23.6632,36.7
SE,2021,7.4,15.7,8.9,48300.0,1.4,25409.0,39700.0,8.5,5.2,18.4,48.3,25.409,39.7
SE,2022,7.199999999999999,16.0,7.5,48390.0,2.3,26378.9,40900.0,9.1,6.2,21.2,48.39,26.3789,40.9
SE,2023,9.3,16.1,7.7,47960.0,2.5,27487.1,42500.0,10.9,6.7,21.8,47.96,27.487099999999998,42.5
SE,2024,9.9,14.8,8.4,48770.0,3.0,28736.0,44800.0,10.6,7.3,22.3,48.77,28.736,44.8
SI,2015,28.700000000000003,14.3,9.0,20170.0,4.8,14589.1,22500.0,6.1,19.2,42.9,20.17,14.5891,22.5
SI,2016,25.9,13.9,8.0,20770.0,4.1,15090.3,23300.0,5.7,17.4,41.7,20.77,15.0903,23.3
SI,2017,22.6,13.3,6.6,21830.0,4.5,15714.7,24900.0,5.2,15.2,37.1,21.83,15.7147,24.9
SI,2018,20.5,13.3,5.1,22720.0,3.2,16408.2,26200.0,4.9,13.6,33.1,22.72,16.4082,26.2
SI,2019,17.4,12.0,4.4,23330.0,2.2,17397.6,27600.0,4.1,12.2,33.0,23.33,17.397599999999997,27.6
SI,2020,17.0,12.4,5.0,22230.0,2.6,16737.7,26700.0,4.4,10.3,29.6,22.23,16.7377,26.7
SI,2021,11.5,11.7,4.8,24040.0,1.8,18918.4,29300.0,4.1,9.0,24.6,24.04,18.918400000000002,29.3
SI,2022,14.2,12.1,4.0,24660.0,1.4,21316.9,32300.0,4.1,7.4,24.6,24.66,21.3169,32.3
SI,2023,14.5,12.7,3.7,25120.0,2.0,22147.2,35100.0,3.7,7.3,22.7,25.12,22.1472,35.1
SI,2024,13.6,13.2,3.7,25480.0,1.8,23355.4,36100.0,3.8,7.5,23.2,25.48,23.355400000000003,36.1
SK,2015,32.7,12.3,11.5,16000.0,8.4,13447.6,21700.0,9.1,7.5,36.7,16.0,13.4476,21.7
SK,2016,29.6,12.7,9.6,16280.0,7.6,13054.7,20700.0,7.7,7.5,37.9,16.28,13.0547,20.7
SK,2017,26.200000000000003,12.4,8.1,16730.0,6.3,13401.5,20800.0,8.4,7.4,34.6,16.73,13.4015,20.8
SK,2018,25.4,12.2,6.5,17380.0,5.4,13755.4,21400.0,4.1,9.9,31.5,17.38,13.7554,21.4
SK,2019,28.299999999999997,11.9,5.7,17760.0,5.9,14406.7,22100.0,5.7,10.2,30.0,17.76,14.4067,22.1
SK,2020,28.700000000000003,11.4,6.7,17270.0,4.5,15094.5,22600.0,3.2,6.7,26.1,17.27,15.0945,22.6
SK,2021,26.6,12.3,6.8,18320.0,5.7,16235.4,24500.0,7.1,6.3,27.0,18.32,16.2354,24.5
SK,2022,27.7,13.7,6.1,18360.0,6.3,18254.3,25500.0,2.5,8.3,27.0,18.36,18.2543,25.5
SK,2023,30.299999999999997,14.3,5.8,18750.0,7.0,19430.1,28500.0,5.9,8.8,29.3,18.75,19.4301,28.5
SK,2024,28.700000000000003,14.5,5.3,19110.0,7.6,20598.1,29800.0,6.4,8.4,28.2,19.11,20.5981,29.8
UK,2015,16.4,16.6,,,6.7,,30800.0,12.4,10.2,38.4,,,30.8
UK,2016,16.3,15.9,,,6.5,,30800.0,12.3,8.7,38.0,,,30.8
UK,2017,14.1,17.0,,,4.7,,31900.0,12.4,8.0,32.9,,,31.9
UK,2018,12.8,18.6,,,4.5,,32300.0,15.1,8.8,34.6,,,32.3
