variable,vif
const,105.26727356851065
ltu_rate,2.649274868806709
aic_pps_pc_k,6.902661931038445
severe_mat_soc_deprivation,3.0908641106367076
arop,2.066981633516873
housing_cost_overburden,2.906290876948161
arrears,4.1280614898072026
unexpected_expenses,3.3816600958258074
z_hours,4.190724175522336
z_low_pay,9.051558115942427
hours_x_low_pay,1.8884873574234586
