geo,time,price_level,category,wage_level_vs_eu,wage_adjusted_pressure
FR,2024,109.5,A0111,120.96748830443842,90.52018979217107
HR,2024,96.0,A0111,58.05847125578226,165.35054734228643
HU,2024,68.9,A0111,44.20769395412632,155.85522301049346
IE,2024,128.0,A0111,144.65127351670574,88.48867824535074
IT,2024,108.6,A0111,92.63845753997894,117.22993115805356
LT,2024,85.3,A0111,64.38477633193992,132.48473452828395
LU,2024,122.7,A0111,194.10569904731952,63.212981691015635
LV,2024,91.7,A0111,58.3131309160322,157.25446149005978
MT,2024,87.3,A0111,75.45286175431241,115.7013769527575
NL,2024,120.5,A0111,134.4587717803899,89.61854879710741
PL,2024,93.9,A0111,54.75117174020347,171.5031788644804
PT,2024,75.0,A0111,67.3574801361097,111.34620809514698
RO,2024,70.6,A0111,48.02955449847772,146.99282709823518
SE,2024,117.9,A0111,113.26217714353108,104.09476753267037
SI,2024,89.0,A0111,86.00179965317365,103.48620652000008
SK,2024,90.2,A0111,58.16789191597542,155.06836680671796
AT,2024,113.6,A0108,131.91261198691322,86.11761854224373
BE,2024,145.7,A0108,156.5827119724985,93.04986365646171
BG,2024,98.7,A0108,38.94611087086614,253.42710168740646
CY,2024,102.9,A0108,73.45664452044923,140.08263060716607
CZ,2024,99.6,A0108,65.06183031716704,153.08514917957945
DE,2024,121.7,A0108,121.6687851904269,100.02565556114023
DK,2024,124.3,A0108,145.45762297266015,85.45444196029734
EE,2024,105.4,A0108,72.4124525516199,145.55507552359813
EL,2024,123.2,A0108,48.29884726098903,255.0785515320334
ES,2024,96.2,A0108,88.48484054286625,108.71918784031278
FI,2024,104.5,A0108,118.03475252584818,88.53324784759113
FR,2024,94.8,A0108,120.96748830443842,78.36816431322208
HR,2024,106.9,A0108,58.05847125578226,184.1247240717752
HU,2024,93.0,A0108,44.20769395412632,210.3706203189534
IE,2024,130.5,A0108,144.65127351670574,90.21697274233026
IT,2024,88.7,A0108,92.63845753997894,95.74857176537157
LT,2024,97.8,A0108,64.38477633193992,151.89926186244045
LU,2024,137.0,A0108,194.10569904731952,70.58010180659447
LV,2024,93.5,A0108,58.3131309160322,160.34124481265638
MT,2024,112.3,A0108,75.45286175431241,148.83464641231006
NL,2024,121.6,A0108,134.4587717803899,90.43664343342955
PL,2024,64.4,A0108,54.75117174020347,117.62305344912183
PT,2024,110.0,A0108,67.3574801361097,163.30777187288223
RO,2024,56.5,A0108,48.02955449847772,117.63590270609474
SE,2024,132.4,A0108,113.26217714353108,116.89692299682407
SI,2024,108.7,A0108,86.00179965317365,126.39270391824729
SK,2024,99.3,A0108,58.16789191597542,170.71273640695225
