stage,var,name,adverse,n,countries,coef,se,ci_lo,ci_hi,p_raw,std_effect,ci_abs_std_upper,boot_p,loo_min,loo_max,loo_sign_stable,greece_resid_base,greece_resid_full,greece_improves,p_fdr,fdr_rejected,outcome,failed_gate,notes
current,unmet_care,Unmet medical care,higher_is_worse,242,27,0.7664674683995407,1.652914826360516,-2.473186060779348,4.006120997578429,0.6428579878009546,0.17773959385948992,0.9289974440120559,0.66,-0.7631252819779281,2.6371819770066756,False,47.75390226200746,52.651855153149704,False,0.6428579878009546,False,inconclusive_under_available_power,power,"does not survive FDR within its declared family; interval still admits an effect of 0.7 SD (largest admitted 0.93 SD); power is the binding constraint, not evidence of absence"
current,not_good_health,Not good or very good health,higher_is_worse,242,27,-0.30297862103468104,0.3060197290834484,-0.9027662685969444,0.2968090265275823,0.3221436302520002,-0.2119261784947617,0.6314630541401344,0.423,-0.3784754465162613,-0.02665997614231564,True,47.75390226200746,47.42054237520119,True,0.4428819634466383,False,unsupported_with_adequate_power,fdr,coefficient -0.3030 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.63 SD)
current,chronic_illness,Long-standing illness,higher_is_worse,241,27,-0.5077221773405001,0.30746029406519526,-1.1103332803843768,0.09488892570337681,0.09866870737956704,-0.31673285008097335,0.6926603566502261,0.129,-0.6403220859760622,-0.27717249912134884,True,47.65328853265552,45.24152850873854,True,0.39467482951826816,False,unsupported_with_adequate_power,fdr,coefficient -0.5077 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.69 SD)
current,activity_limitation,Activity limitation,higher_is_worse,241,27,-0.3051082874903037,0.31461943686309424,-0.9217510525782419,0.3115344775976344,0.33216147258497875,-0.1545892354385097,0.4670236644661458,0.363,-0.4878067068282457,-0.17600724903342377,True,47.58230226596073,46.997936264559726,True,0.4428819634466383,False,unsupported_with_adequate_power,fdr,coefficient -0.3051 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.47 SD)
