predictor,r_with_greece,p_with_greece,r_excl_greece,p_excl_greece,n,p_adj_fdr,survives_fdr
arop,-0.1511855162877886,0.451598275297326,-0.2919005490934921,0.1479145991654727,27,0.7177111052595357,False
unemployment_rate,-0.0850695860947585,0.6731094985676866,-0.0320493026496642,0.8764883359952429,27,0.7572481858886475,False
real_gdp_pc,0.5192709767968243,0.0055094957181753,0.5009979705585412,0.0091318384822344,27,0.0495854614635777,True
severe_mat_soc_deprivation,-0.2481568532197879,0.2120019123584234,-0.2326243849684532,0.2527919428316791,27,0.4770043028064527,False
aic_pps_pc,0.0013362715973402,0.9947221135587104,0.0556344778571704,0.7872076174563161,27,0.9947221135587104,False
housing_cost_overburden,-0.3210941783371818,0.1024518791671653,-0.2800306303244174,0.1658806210137262,27,0.3073556375014959,False
arrears,-0.4611629720834782,0.0154731552187063,-0.3771570160134714,0.0575151948218432,27,0.06962919848417835,False
unexpected_expenses,-0.1178602859752042,0.5582197485351945,-0.0286654430526401,0.889445989234221,27,0.7177111052595357,False
pct_below_peak,-0.1307286855159588,0.5244209632938974,-0.1349410289118059,0.5201497119223392,26,0.7177111052595357,False
