dropped,coef,pct
CY,0.24519715719244625,-12.67645929301977
IT,0.2673499637302041,-4.787046847852364
HU,0.2920967816002442,4.026186479916609
LV,0.2910339605293449,3.6476776092934813
ES,0.2718573435162364,-3.1818065313078643
SK,0.28693854253215006,2.18915172634675
RO,0.274834695470343,-2.1214642437365
DE,0.2753049071020896,-1.9540049426749764
BG,0.2758031304997909,-1.7765696426556086
BE,0.28576727912919286,1.7720226347298584
SI,0.28574042446824843,1.7624587225499442
LU,0.276651833475616,-1.4743159391208946
NL,0.2847429279809751,1.4072142894217248
CZ,0.28433818133792144,1.263069429157414
MT,0.2834021383115496,0.9297107872678048
EE,0.2782616964102447,-0.9009857540797603
IE,0.27828395631390723,-0.8930582004903637
EL,0.2784347679021222,-0.8393487610606221
FR,0.28310584249511966,0.8241891732181797
DK,0.28303589882434366,0.7992797123902529
LT,0.2787322736228825,-0.7333962564931129
AT,0.28283279692999036,0.7269478112283445
FI,0.2793792061957272,-0.5030002620765168
SE,0.2816505854054711,0.3059196991259167
HR,0.2816369706193711,0.3010709833339622
PT,0.28113320342293235,0.12166133687328519
PL,0.2807956219267098,0.0014364049660391402
