geo,avg_residual_loo,candidate_coef,candidate_p,rank
CY,7.814061736618157,0.050053532995260226,0.004619520333164482,1
BE,5.308934576866248,0.05655793890623599,0.0014384970388804327,2
BG,4.678362414092693,0.06012206278739161,0.0004382081505408761,3
IT,4.460251745312675,0.05584369715345133,0.001591217830748681,4
PT,4.2778947086679535,0.0437172721997749,0.005682740816070767,5
CZ,3.7782389019194276,0.049609553486686914,0.002647953517415587,6
LU,3.7115434502543776,0.04623257843861656,0.020736255060566988,7
LV,3.134177536174252,0.053495632578792245,0.0013520755045073871,8
FR,2.317964598055916,0.05648909357473738,0.0019153833311992168,9
NL,2.207691530069391,0.053671336621350735,0.001957072175333423,10
HR,1.8520276125140445,0.05160789730959123,0.002257488525110315,11
HU,1.65995661526456,0.05183964166792041,0.002327931348237809,12
AT,1.3029127137869594,0.05257255220225936,0.0022855194766314654,13
MT,1.2456529709027326,0.05253899375121034,0.002286309935698251,14
SK,0.72100791285714,0.0556016131241059,0.0012635867826911332,15
DK,0.3820327257637909,0.0527991052235697,0.0024910828059641,16
SE,-1.6574368626668678,0.05299728223140231,0.0019944649221226222,17
IE,-2.4022896229733757,0.05047554370183871,0.003993185397715145,18
SI,-2.8622657519927244,0.046692375011546695,0.011761769538568929,19
DE,-3.584211379079382,0.04794354455292916,0.005514322153143935,20
EE,-3.7035544186128453,0.049116072083012476,0.007245744154194582,21
ES,-3.800619419849,0.04578757048592299,0.006507110186357293,22
PL,-3.965931717249672,0.06364685750542474,0.00046931118715035417,23
LT,-4.839196782614744,0.05629962552052401,0.0015258482416921407,24
EL,-5.3831317426100425,0.05707804061932263,0.0011823047485545431,25
RO,-8.603198424411357,0.05891026862753374,0.0003568842297907564,26
FI,-11.791917951687166,0.05131379984163888,0.0038789314003873925,27
