step,outcome,coef,p,greece,rank
alone,hardship,5.9385326144017725,0.11765564796132584,44.83139583285581,1
alone,hardship_gap,5.938532614401771,0.1176556479613257,44.83139583285583,1
sensitivity_famD_all,hardship,-1.484238610308978,0.02592170527226343,8.233185632462629,2
sensitivity_famD_nolab,hardship,-1.1530114651535412,0.060323466297870616,11.164940137772806,1
frozen_P3,hardship,0.2807915886223866,3.451136654734448e-22,6.931071880828716,3
P3_plus_famD,hardship,-2.1685172255155796,0.004435514232085577,10.385465082052674,1
