predictor,r_with_greece,p_with_greece,r_excl_greece,p_excl_greece,n
arop,-0.15118551628778865,0.451598275297326,-0.29190054909349217,0.14791459916547273,27
unemployment_rate,-0.08506958609475856,0.6731094985676866,-0.03204930264966424,0.8764883359952429,27
real_gdp_pc,0.5192709767968243,0.00550949571817536,0.5009979705585412,0.009131838482234495,27
severe_mat_soc_deprivation,-0.24815685321978798,0.21200191235842344,-0.23262438496845322,0.25279194283167916,27
aic_pps_pc,0.0013362715973402883,0.9947221135587104,0.05563447785717049,0.7872076174563161,27
housing_cost_overburden,-0.3210941783371818,0.10245187916716535,-0.28003063032441744,0.1658806210137262,27
arrears,-0.4611629720834782,0.015473155218706342,-0.3771570160134714,0.05751519482184324,27
unexpected_expenses,-0.11786028597520426,0.5582197485351945,-0.02866544305264019,0.889445989234221,27
pct_below_peak,-0.13072868551595881,0.5244209632938974,-0.13494102891180598,0.5201497119223392,26
