,0
HU,0.5524467920149094
BG,0.44755320797728354
PL,2.258068198204048e-12
DE,1.2290262534437317e-12
NL,1.161162333642566e-12
LV,9.620735318006096e-13
FI,6.182375250262059e-13
EE,4.634514658211182e-13
LU,4.078644726862286e-13
FR,3.7655096397199026e-13
DK,2.0071069378186128e-13
LT,1.2991574145843683e-13
AT,0.0
SI,0.0
SE,0.0
IT,0.0
MT,0.0
BE,0.0
CZ,0.0
SK,0.0
