var,name,n,countries,between,between_p,within,within_p,within_boot_p,within_loo_sign_stable,sign_reversal,greece_within_r,greece_n
unmet_care,Unmet medical care,242,27,0.8026087550165377,0.6697356321432917,0.5001072442903184,0.19849422930252525,0.185,True,False,0.09833522452913536,9
not_good_health,Not good or very good health,242,27,-0.349952738642079,0.26850504246569284,0.5674874909576926,0.013854958707375947,0.034,True,True,0.8413184100338196,9
chronic_illness,Long-standing illness,241,27,-0.5594887441656788,0.0871036169729545,0.33207412452801643,0.3507100960207211,0.379,True,True,-0.7019462870024694,9
activity_limitation,Activity limitation,241,27,-0.4271000070298736,0.23729580053146515,0.4060401590882436,0.019639907554536606,0.031,True,True,0.7036394344362048,9
