time,subjective_poverty,predicted_lgo,residual_lgo
2015,77.7,80.73218982976672,-3.032189829766722
2016,76.80000000000001,85.73951599130683,-8.93951599130682
2017,77.19999999999999,81.18080015052946,-3.9808001505294754
2018,74.1,74.03862161202733,0.061378387972666815
2019,71.0,62.14735316376985,8.85264683623015
2020,69.80000000000001,60.24103912805248,9.558960871947534
2021,71.0,56.42001949904849,14.579980500951507
2022,68.4,62.83080076812077,5.569199231879239
2023,67.0,60.573983659171944,6.426016340828056
2024,66.7,59.67890468867488,7.021095311325119
