spec,pre_rmse,post_gap,ratio,max_w,eff_donors
"2005-2008 pre-period, unpenalised",0.9146065862553238,26.59255893734003,32.29914808566255,0.5524467920149094,1.9782341543718898
"2005-2008, regularised (lam=0.5)",0.9146066912726327,26.592346478125105,32.298913720745674,0.5524320952881113,1.9782462185558125
2005-2009 pre-period,0.9329124171815497,26.907852124320964,31.686142740969974,0.48862808538492225,2.2182502991518067
