time,subjective_poverty,predicted,residual,model
2015,77.7,82.5,-4.8,D_plus_institutional
2016,76.8,81.3,-4.5,D_plus_institutional
2017,77.2,77.3,-0.1,D_plus_institutional
2018,74.1,73.4,0.7,D_plus_institutional
2019,71.0,68.7,2.3,D_plus_institutional
2020,69.8,63.6,6.2,D_plus_institutional
2021,71.0,58.6,12.4,D_plus_institutional
2022,68.4,65.5,2.9,D_plus_institutional
2023,67.0,65.7,1.3,D_plus_institutional
2024,66.7,60.7,6.0,D_plus_institutional
