geo,time,subjective_poverty_employed,arop_employed,arope_employed,subjective_poverty_population_status_table,weekly_actual_hours,weekly_hours_eu100,hourly_compensation_eur,hourly_compensation_nac,hourly_compensation_pps,hourly_comp_pps_eu100,hicp,real_hourly_comp_idx2008,real_hourly_shortfall,cum_real_hourly_shortfall,years_hourly_pay_below_2008,employee_weekly_hours,employee_weekly_hours_eu100,annual_hours_per_employee,annual_employee_hours_eu100,work_effort_squeeze,employee_lfs_effort_squeeze,matched_employee_effort_squeeze,low_hourly_reward_eu,employed_subjective_minus_arop,employed_subjective_minus_arope
FR,2019,13.6,7.4,10.3,15.8,36.1,98.09782608695653,34.7,34.7,31.9,131.8181818181818,104.95,106.75073378265377,0.0,0.0,0.0,34.9,97.21448467966574,1394.6062091503268,89.89791204213259,74.41904047976014,73.74891941216022,68.19841603196267,-31.818181818181813,6.199999999999999,3.299999999999999
FR,2020,14.4,7.4,9.9,17.3,35.7,98.61878453038675,36.2,36.2,33.4,131.49606299212599,105.5,110.78474132502569,0.0,0.0,0.0,34.7,97.74647887323945,1287.2749707145647,87.27827968414502,74.9975187746055,74.33414860420005,66.37330251428992,-31.496062992125985,7.0,4.5
FR,2021,12.8,6.9,8.9,15.2,35.9,98.62637362637363,35.9,35.9,32.5,126.953125,107.68,107.64236691985576,0.0,0.0,0.0,35.0,98.31460674157303,1364.409440719293,89.26602052628819,77.68723584108201,77.44165946413136,70.31415770686085,-26.953125,5.9,3.9000000000000004
FR,2022,17.0,7.5,10.3,19.7,36.2,99.45054945054947,36.9,36.9,33.4,125.56390977443608,114.04,104.47033674848474,0.0,0.0,0.0,35.2,98.87640449438203,1392.1116457773799,90.31516153788282,79.2031321971442,78.74587902845994,71.9276436199905,-25.563909774436084,9.5,6.699999999999999
FR,2023,18.4,7.8,10.5,20.2,36.0,99.72299168975069,38.5,38.5,35.4,125.53191489361703,120.5,103.15671879987232,0.0,0.0,0.0,35.0,99.1501416430595,1396.7499907595638,90.47261770192006,79.44034931217428,78.98401113938638,72.07140732186852,-25.531914893617028,10.599999999999998,7.899999999999999
FR,2024,18.0,8.3,11.1,19.8,35.8,99.44444444444443,39.3,39.3,36.2,122.2972972972973,123.29,102.91733572616043,0.0,0.0,0.0,34.9,98.86685552407933,1407.9046427783092,90.98821317532565,81.31368937998771,80.84140672687148,74.39920193341544,-22.297297297297305,9.7,6.9
FR,2025,18.5,8.7,11.2,19.7,,,,,,,,,,,,,,,,,,,,9.8,7.300000000000001
HR,2010,45.6,6.3,,52.5,39.8,106.13333333333333,8.5,8.2,12.1,59.9009900990099,92.55,97.9639967718484,2.0360032281516,4.220363210676709,2.0,40.6,111.53846153846155,1980.5466723450384,125.70667349886573,177.18126721763082,186.20470438652256,209.85742187413948,40.0990099009901,39.300000000000004,
HR,2011,42.7,6.6,,51.8,39.7,105.86666666666667,8.7,8.6,12.8,61.835748792270536,94.59,100.52690037184523,0.0,4.220363210676709,2.0,40.5,111.26373626373626,1977.6097749693727,125.45231704490448,171.20625,179.93432348901098,202.87991897105647,38.164251207729464,36.1,
HR,2012,45.2,6.0,,55.3,39.5,106.18279569892472,8.1,8.0,12.2,57.54716981132076,97.76,90.48109757329617,9.518902426703832,13.73926563738054,3.0,40.1,110.77348066298342,2084.591903481358,133.58028880049383,184.51436629649214,192.4916221356761,232.12312480085814,42.45283018867924,39.2,
HR,2013,52.1,6.2,,62.1,39.2,105.94594594594597,8.1,8.1,12.3,56.68202764976959,100.04,89.52419032387044,10.475809676129558,24.2150753135101,4.0,39.8,110.55555555555554,2068.8068814247367,133.28881942901728,186.91276642496157,195.04516711833782,235.151819643063,43.31797235023041,45.9,
HR,2014,51.2,5.7,,60.2,39.3,106.21621621621621,7.7,7.8,11.8,53.881278538812786,100.26,86.01931274981345,13.980687250186548,38.19576256369665,5.0,39.6,110.30640668523678,2053.8205851360563,132.15974697081222,197.1300961978928,204.72121240734623,245.279530394982,46.118721461187214,45.5,
HR,2015,43.8,5.9,7.5,54.4,38.3,103.7940379403794,7.9,8.0,12.4,55.85585585585586,100.0,88.45432098765433,11.545679012345673,49.74144157604232,6.0,38.6,107.22222222222223,2006.3935105599214,129.0212141253427,185.82480986100182,191.96236559139786,230.98959303085547,44.14414414414414,37.9,36.3
HR,2016,40.5,5.6,7.4,51.4,38.6,104.04312668463612,8.1,8.1,12.6,56.25000000000001,99.37,90.12780517258732,9.872194827412685,59.613636403455004,7.0,38.6,106.92520775623268,2006.6757482877363,128.55588984558503,184.96555855046418,190.08925823330253,228.5438041699289,43.74999999999999,34.9,33.1
HR,2017,34.2,5.8,7.6,44.3,38.9,105.42005420054201,8.3,8.2,12.8,55.65217391304348,100.67,90.06226185789777,9.937738142102233,69.55137454555724,8.0,38.9,108.05555555555556,2020.7221604424578,130.0229733810853,189.42665989159894,194.1623263888889,233.63503029413766,44.34782608695652,28.400000000000002,26.6
