treatment_year,coef,se,p
2009,20.305647058823496,1.0910167337378487,2.584192796394196e-77
2010,21.02533333333337,1.1560438905182329,6.505082076723537e-74
2011,22.32214010813152,1.2362412744054347,7.018250181384112e-73
