time,subjective_poverty,predicted,residual
2015,77.7,82.55248218405988,-4.85248218405988
2016,76.80000000000001,81.89697973943356,-5.09697973943355
2017,77.19999999999999,77.88861508455169,-0.6886150845516994
2018,74.1,72.47284738921923,1.6271526107807688
2019,71.0,67.82625967108861,3.173740328911393
2020,69.80000000000001,62.91039041853926,6.889609581460753
2021,71.0,57.265206324582095,13.734793675417905
2022,68.4,62.52832705177929,5.871672948220713
2023,67.0,60.46537325620537,6.534626743794632
2024,66.7,55.335742298175724,11.364257701824279
