geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,debt_to_income,arop_before_transfers,transfer_effect,pct_below_peak,ltu_rate,cum_gdp_shortfall_2008base,cum_gdp_shortfall_ownpeak,cum_wage_shortfall_2008base,cum_wage_shortfall_ownpeak,cum_excess_unemployment,cum_excess_ltu,cum_threshold_shortfall,gdp_years_below_2008,gdp_years_below_peak,gdp_longest_streak_2008,gdp_longest_streak_peak,gdp_cum_negative_years,wage_years_below_2008,wage_years_below_peak,wage_longest_streak_2008,wage_longest_streak_peak,wage_cum_negative_years,slope5_real_wage,slope5_real_gdp,slope5_unemployment,years_worst_quintile_unemp,years_worst_quintile_wage,share_worst_unemployment,share_worst_ltu,share_worst_real_wage,share_worst_real_gdp,share_worst_threshold,share_worst_composite
BE,2015,20.5,14.9,8.7,40310.0,7.2,22339.7,33100.0,9.4,6.9,25.7,40.31,22.3397,33.1,98.97,43.3,28.4,0.0,4.0,5.702084903290626,5.702084903290626,0.0,3.420986096700261,2.3999999999999986,2.2999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,1.0,0.0,3.0,3.0,0.5490826719482477,173.0000000000155,0.4100000000000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
BE,2016,21.5,15.5,7.9,40590.0,8.4,22670.2,33600.0,9.8,7.0,26.0,40.59,22.6702,33.6,99.77,43.8,28.299999999999997,0.0,3.7,5.702084903290626,5.702084903290626,0.0,4.887693039621212,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,2.0,0.0,3.0,4.0,0.0509571161553065,303.00000000009953,0.0699999999999385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
BE,2017,20.9,15.9,7.2,41030.0,7.2,23338.4,34500.0,9.4,5.4,25.5,41.03,23.3384,34.5,100.7,43.5,27.6,0.0,3.1,5.702084903290626,5.702084903290626,0.0,6.648868102464533,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,3.0,0.0,3.0,5.0,-0.3911848158819462,380.999999999953,-0.3599999999999231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
BE,2018,19.1,16.4,6.0,41610.0,6.5,24076.4,35600.0,8.9,6.1,24.5,41.61,24.076400000000003,35.6,101.17,41.9,25.5,0.0,2.6,5.702084903290626,5.702084903290626,0.0,8.895385500384364,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,4.0,0.0,4.0,6.0,-0.5809389098163045,401.9999999999106,-0.6899999999998218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
BE,2019,19.1,14.8,5.5,42400.0,6.2,24638.0,36900.0,8.4,5.6,25.3,42.4,24.638,36.9,103.06,42.6,27.8,0.0,2.1,5.702084903290626,5.702084903290626,0.0,10.328281207521895,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,5.0,0.0,5.0,6.0,-0.2755960348236351,519.999999999986,-0.8299999999999857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,2020,16.8,14.1,5.8,40190.0,6.7,23612.1,35900.0,7.7,5.6,23.2,40.19,23.6121,35.9,105.22,42.3,28.199999999999996,5.212264150943396,2.1,5.702084903290626,10.914349054234023,0.6403561704976823,13.431198074094226,2.3999999999999986,2.7999999999999994,0.0,0.0,1.0,5.0,5.0,4.0,1.0,6.0,1.0,6.0,7.0,-0.2944140491596869,56.99999999996801,-0.5899999999999559,0.0,1.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.041666666666666664
BE,2021,15.6,12.8,6.3,42530.0,6.2,25314.9,38700.0,7.6,4.1,22.3,42.53,25.3149,38.7,105.32,44.5,31.7,0.0,2.6,5.702084903290626,10.914349054234023,0.6403561704976823,14.865608375662234,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,4.0,0.0,7.0,1.0,7.0,7.0,-0.0202869946101875,158.0000000000186,-0.1999999999999864,0.0,2.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.08
BE,2022,16.7,13.1,5.6,43890.0,5.7,28396.9,42500.0,7.5,4.2,22.7,43.89,28.3969,42.5,100.88,41.6,28.5,0.0,2.3,5.702084903290626,10.914349054234023,2.1778614467076807,18.86567434794688,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,4.0,1.0,8.0,1.0,8.0,8.0,-0.3508611743161594,469.0000000001708,2.6470984813719215e-14,0.0,2.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.04
BE,2023,15.5,12.4,5.5,44190.0,6.1,30338.0,45400.0,7.8,4.7,21.6,44.19,30.338,45.4,94.89,42.0,29.6,0.0,2.2,5.702084903290626,10.914349054234023,2.1778614467076807,18.86567434794688,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,1.0,8.0,8.0,0.4083199964382494,727.999999999892,-0.0199999999999955,0.0,2.0,0.0,0.0,0.125,0.0,0.0,0.0
BE,2024,17.1,11.4,5.7,44410.0,6.2,31479.6,46600.0,6.7,5.0,21.6,44.41,31.4796,46.6,94.84,42.4,31.0,0.0,2.0,5.702084903290626,10.914349054234023,2.1778614467076807,19.800412256591443,2.3999999999999986,2.7999999999999994,0.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,8.0,9.0,0.8942604701149551,1009.999999999917,-0.0999999999999845,0.0,2.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.2
BG,2015,64.0,22.0,10.1,8130.0,36.8,9522.7,13600.0,14.8,33.6,53.4,8.13,9.5227,13.6,38.01,42.9,20.9,0.0,6.3,3.516174402250357,3.516174402250357,0.0,0.0,25.9,20.799999999999997,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12322459807494,172.00000000001629,-0.5300000000000538,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.5416666666666666
BG,2016,61.7,22.9,8.6,8490.0,33.5,9841.1,14400.0,20.7,34.2,54.2,8.49,9.8411,14.4,37.98,45.5,22.6,0.0,5.2,3.516174402250357,3.516174402250357,0.0,0.0,26.6,22.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.03808518162082,245.00000000008328,-1.320000000000502,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.4583333333333333
BG,2017,58.4,23.4,7.2,8840.0,30.0,10396.1,15300.0,18.9,33.3,53.2,8.84,10.3961,15.3,37.72,44.8,21.4,0.0,4.0,3.516174402250357,3.516174402250357,0.0,0.0,26.6,23.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.11213741200592,319.9999999999497,-1.7199999999997628,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.5416666666666666
BG,2018,55.9,22.0,6.2,9170.0,22.3,11035.1,16300.0,17.9,31.9,32.1,9.17,11.0351,16.3,37.36,45.2,23.200000000000003,0.0,3.7,3.516174402250357,3.516174402250357,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.149217301563308,350.99999999993076,-1.529999999999743,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.52
BG,2019,50.099999999999994,22.6,5.2,9650.0,22.1,11743.7,17400.0,16.0,29.3,36.5,9.65,11.7437,17.4,39.25,42.2,19.6,0.0,3.0,3.516174402250357,3.516174402250357,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.000742483639758,371.99999999999267,-1.2199999999999875,0.0,0.0,0.0,0.2727272727272727,0.0,1.0,0.0,0.5416666666666666
BG,2020,43.7,23.8,6.1,9440.0,22.1,11830.3,17500.0,14.4,23.6,43.5,9.44,11.8303,17.5,42.1,41.7,17.900000000000002,2.1761658031088085,2.8,3.516174402250357,5.692340205359159,0.0,0.0,26.6,23.2,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.466954471991432,270.99999999998454,-0.6999999999999404,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.5833333333333334
BG,2021,37.099999999999994,22.1,5.2,10250.0,19.1,13391.8,19700.0,11.6,20.4,36.4,10.25,13.3918,19.7,43.24,44.3,22.199999999999996,0.0,2.6,3.516174402250357,5.692340205359159,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.86156043778896,309.0000000000553,-0.4100000000000412,0.0,0.0,0.0,0.3076923076923077,0.0,1.0,0.0,0.56
BG,2022,40.3,22.9,4.2,10740.0,18.7,15053.2,22400.0,15.1,19.9,42.4,10.74,15.0532,22.4,41.24,44.2,21.300000000000004,0.0,2.2,3.516174402250357,5.692340205359159,0.0,0.0,26.6,23.2,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.778463150923564,374.00000000011573,-0.400000000000107,0.0,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,0.48
