,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
hicp_food,0.1256,0.0439,-0.1005,-0.1071,0.011,-0.0649,-0.2531,-0.2115,-0.1924,0.2884,0.01,0.1442,0.3633,0.2419,-0.1172,0.9056,1.0,0.6076,0.0874,0.0816,-0.0298,-0.0679,-0.1908,0.01,-0.1676,-0.0941,-0.1004,0.0073,0.0435,-0.1729,-0.1946,-0.1066,-0.0351,-0.1279,-0.1147
hicp_housing,0.0902,0.0729,-0.0141,-0.0476,0.0196,-0.0732,-0.2373,-0.1942,-0.1885,0.2207,-0.0252,0.1161,0.2277,0.1972,-0.1807,0.8199,0.6076,1.0,0.0115,0.0106,-0.0563,-0.1186,-0.1116,-0.0242,-0.118,-0.1263,-0.1085,-0.0636,0.011,-0.1043,-0.1036,-0.1383,-0.0424,-0.1536,-0.1505
wadj_a01,-0.8049,-0.6747,-0.7444,-0.8306,-0.9013,-0.6108,0.1397,0.2946,0.1655,-0.2072,0.7716,0.1716,0.243,0.3408,0.1333,0.058,0.0874,0.0115,1.0,0.9635,0.6433,0.2227,-0.5826,0.4912,0.136,0.5576,0.6192,0.5578,0.4382,0.0353,-0.3651,0.6844,0.5398,0.6265,0.5814
work_effort_squeeze,-0.8037,-0.6803,-0.7681,-0.8569,-0.926,-0.6511,0.1392,0.2874,0.1792,-0.2714,0.8509,0.1531,0.2814,0.4161,0.1419,0.06,0.0816,0.0106,0.9635,1.0,0.6172,0.201,-0.6395,0.5138,0.2008,0.5405,0.6332,0.5505,0.4816,0.0704,-0.373,0.6719,0.5434,0.6012,0.5642
severe_mat_soc_deprivation,-0.5225,-0.4228,-0.4419,-0.5144,-0.4781,-0.6451,0.2646,0.3821,0.3254,-0.5148,0.4987,0.164,0.0814,0.2566,0.1562,-0.0715,-0.0298,-0.0563,0.6433,0.6172,1.0,0.4231,-0.4344,0.6717,0.235,0.6123,0.6397,0.6316,0.5667,0.4436,-0.115,0.6944,0.8826,0.6026,0.4246
housing_cost_overburden,-0.0728,-0.1383,-0.0728,0.0281,-0.0846,-0.3796,0.5019,0.5921,0.4046,-0.3922,0.1845,-0.1622,-0.3534,-0.3259,0.6533,-0.1223,-0.0679,-0.1186,0.2227,0.201,0.4231,1.0,0.083,0.2904,0.1326,0.6451,0.2291,0.3412,0.1932,0.4415,0.2211,0.5606,0.3865,0.5581,0.5037
debt_to_income,0.6045,0.5319,0.682,0.7711,0.5873,0.3097,0.0382,-0.1273,-0.0328,0.2288,-0.6324,-0.1697,-0.3103,-0.3664,0.054,-0.2067,-0.1908,-0.1116,-0.5826,-0.6395,-0.4344,0.083,1.0,-0.3492,-0.1961,-0.1972,-0.4601,-0.2633,-0.3676,-0.1085,0.2341,-0.3334,-0.3684,-0.2634,-0.2316
s80s20,-0.3725,-0.3315,-0.3543,-0.3953,-0.4377,-0.5916,0.3677,0.3663,0.3782,-0.396,0.3914,0.294,0.0313,0.2512,0.1364,-0.0379,0.01,-0.0242,0.4912,0.5138,0.6717,0.2904,-0.3492,1.0,0.2512,0.4055,0.5973,0.6807,0.9133,0.3878,-0.479,0.4894,0.8795,0.2853,0.1721
net_migration,-0.1833,-0.1362,-0.1032,-0.1449,-0.1496,-0.2502,0.2337,0.2442,0.2071,-0.3883,0.1683,-0.2005,-0.1933,-0.1683,0.0576,-0.1514,-0.1676,-0.118,0.136,0.2008,0.235,0.1326,-0.1961,0.2512,1.0,0.2214,0.3895,0.095,0.3136,0.2469,-0.0624,0.2744,0.2892,0.2138,0.1972
arrears,-0.416,-0.3387,-0.3295,-0.3095,-0.4517,-0.5719,0.6015,0.6806,0.5366,-0.5945,0.5357,-0.0841,-0.325,-0.0758,0.6386,-0.1638,-0.0941,-0.1263,0.5576,0.5405,0.6123,0.6451,-0.1972,0.4055,0.2214,1.0,0.6654,0.6208,0.3736,0.3965,0.0155,0.8937,0.5706,0.8723,0.8253
unexpected_expenses,-0.6092,-0.5,-0.5159,-0.5502,-0.609,-0.6082,0.4837,0.529,0.4466,-0.5411,0.5696,-0.0365,-0.201,0.1786,0.2664,-0.1513,-0.1004,-0.1085,0.6192,0.6332,0.6397,0.2291,-0.4601,0.5973,0.3895,0.6654,1.0,0.6094,0.5876,0.3079,-0.2557,0.7478,0.6896,0.6551,0.586
warm,-0.3937,-0.3967,-0.4353,-0.4005,-0.4788,-0.5888,0.4278,0.499,0.4026,-0.3731,0.4779,0.2225,-0.1268,0.1392,0.2987,-0.071,0.0073,-0.0636,0.5578,0.5505,0.6316,0.3412,-0.2633,0.6807,0.095,0.6208,0.6094,1.0,0.5367,0.2488,-0.2627,0.7022,0.6496,0.6192,0.5492
arop,-0.3505,-0.3086,-0.3443,-0.392,-0.4227,-0.5651,0.3895,0.3701,0.4294,-0.4331,0.3899,0.2201,0.0295,0.2719,0.138,0.0058,0.0435,0.011,0.4382,0.4816,0.5667,0.1932,-0.3676,0.9133,0.3136,0.3736,0.5876,0.5367,1.0,0.385,-0.56,0.4394,0.8594,0.2074,0.1201
arop_before_transfers,-0.0723,-0.1206,-0.0229,0.05,-0.0199,-0.3035,0.5192,0.5001,0.5717,-0.6352,0.1441,-0.1868,-0.3307,-0.2294,0.3404,-0.1845,-0.1729,-0.1043,0.0353,0.0704,0.4436,0.4415,-0.1085,0.3878,0.2469,0.3965,0.3079,0.2488,0.385,1.0,0.549,0.3877,0.5209,0.3178,0.2232
transfer_effect,0.2525,0.1712,0.2913,0.3999,0.3649,0.2375,0.1133,0.1137,0.1243,-0.178,-0.2238,-0.367,-0.3224,-0.4556,0.1806,-0.1709,-0.1946,-0.1036,-0.3651,-0.373,-0.115,0.2211,0.2341,-0.479,-0.0624,0.0155,-0.2557,-0.2627,-0.56,0.549,1.0,-0.0499,-0.3107,0.0975,0.0916
subjective_poverty,-0.5853,-0.4982,-0.4985,-0.493,-0.5976,-0.6226,0.6185,0.7576,0.5995,-0.6807,0.6522,-0.0931,-0.3125,-0.0529,0.5527,-0.1759,-0.1066,-0.1383,0.6844,0.6719,0.6944,0.5606,-0.3334,0.4894,0.2744,0.8937,0.7478,0.7022,0.4394,0.3877,-0.0499,1.0,0.6365,0.9699,0.9247
arope,-0.4312,-0.3507,-0.3621,-0.4201,-0.4352,-0.6696,0.4212,0.4577,0.469,-0.5777,0.4346,0.1567,-0.0154,0.2275,0.2068,-0.0813,-0.0351,-0.0424,0.5398,0.5434,0.8826,0.3865,-0.3684,0.8795,0.2892,0.5706,0.6896,0.6496,0.8594,0.5209,-0.3107,0.6365,1.0,0.4602,0.295
gap_subj_arop,-0.5424,-0.4589,-0.4495,-0.4306,-0.5362,-0.5246,0.568,0.7247,0.5364,-0.6239,0.6045,-0.1611,-0.3479,-0.1321,0.5644,-0.1931,-0.1279,-0.1536,0.6265,0.6012,0.6026,0.5581,-0.2634,0.2853,0.2138,0.8723,0.6551,0.6192,0.2074,0.3178,0.0975,0.9699,0.4602,1.0,0.9744
gap_subj_arope,-0.5123,-0.4441,-0.4388,-0.4034,-0.5255,-0.4416,0.5583,0.7126,0.5112,-0.5582,0.5934,-0.1927,-0.3788,-0.1822,0.5826,-0.1777,-0.1147,-0.1505,0.5814,0.5642,0.4246,0.5037,-0.2316,0.1721,0.1972,0.8253,0.586,0.5492,0.1201,0.2232,0.0916,0.9247,0.295,0.9744,1.0
