year,n_subj_poverty,n_fin_exp,n_life_sat,gr_subj_poverty_z,gr_fin_exp_z,gr_life_sat_z
2018,27,27,27,3.077531646610522,3.8646928279165915,1.2661290817439448
2021,27,27,25,3.90300664765098,3.0153279514656774,0.775809820602282
2022,27,27,27,3.771425392889684,3.09945150289617,1.0325590255920063
2023,27,27,27,4.008554903272982,2.67433397152569,1.0546492055737373
2024,27,27,27,4.038276102449027,3.3299143704019962,1.7320508075688792
