pair,construct,focal,controlling_for,adverse,n,countries,coef_joint,se_joint,p_raw,ci_lo,ci_hi,sd_focal,resid_sd,focal_vif,partial_corr,collinearity_gate,conditional_mde_sd,mde_fragile,greece_without,greece_joint,std_effect,ci_abs_std_upper,greece_improves,p_fdr,fdr_rejected,boot_p,loo_sign_stable,outcome,failed_gate,prior_outcome,ceiling_applied,reportable_outcome
P1_ltu,C2,acc_cum_excess_unemployment,ltu_rate,higher_is_worse,270,27,0.2935912484975226,0.042338860147680624,4.08176771444088e-12,0.21060860746159038,0.37657388953345483,24.886240462147036,13.273438334057213,2.1798367298885526,0.71665451312706,False,0.6,False,21.83878929974279,4.527097666765287,0.5504513769385941,0.7060347236970226,True,3.265414171552704e-11,True,0.0025,True,supported,,supported,False,supported
P1_ltu,C2,ltu_rate,acc_cum_excess_unemployment,higher_is_worse,270,27,1.931760435108625,0.765515514957832,0.011620081709663265,0.43137759618464133,3.432143274032609,2.470758743327004,13.273438334057213,2.815362192113582,0.71665451312706,False,0.6,True,9.579878586370427,4.527097666765287,0.3595838444370054,0.6388697328640851,True,0.02065792303940136,True,0.1075,True,inconclusive_under_available_power,bootstrap,supported,False,inconclusive_under_available_power
P2_wage_area,C3,acc_real_wages_shortfall,real_wages_idx,higher_is_worse,270,27,0.10942594664111627,0.04254586259404446,0.010112670377797367,0.026037588265599237,0.1928143050166333,73.01728766850512,13.273438334057213,1.5265253908405783,-0.5318477271167276,False,0.6,True,49.349306029346224,40.860117026480296,0.6019529848413155,1.0606729938149362,True,0.020225340755594734,True,0.006,True,supported,,inconclusive_under_available_power,True,capped_by_ceiling_cannot_create_support
P2_wage_area,C3,real_wages_idx,acc_real_wages_shortfall,lower_is_worse,270,27,0.07879971151748756,0.11401307772905918,0.4894736357440732,-0.14466181459803418,0.30226123763300927,25.052985790392942,13.273438334057213,1.5542798241456013,-0.5318477271167276,False,0.5,False,38.49122302067963,40.860117026480296,0.14873072095188217,0.5705037610320303,False,0.5593984408503694,False,,False,inconclusive_under_available_power,power,inconclusive_under_available_power,False,inconclusive_under_available_power
P3_wage_duration,C3,dur_real_wages_below,real_wages_idx,higher_is_worse,270,27,2.089729089318894,0.6622300902056624,0.001601718190348737,0.7917819630370844,3.3876762156007034,3.9631182084549246,13.273438334057213,1.5431661498519083,-0.57581666868536,False,0.5,True,49.349306029346224,42.058048324595426,0.6239410766212656,1.0114757726299728,True,0.005125498209115958,True,0.006,True,supported,,supported,False,supported
P3_wage_duration,C3,real_wages_idx,dur_real_wages_below,lower_is_worse,270,27,0.10551677674665738,0.09498709129549496,0.26663125984776825,-0.0806545011887308,0.29168805468204556,25.052985790392942,13.273438334057213,1.667526152019933,-0.57581666868536,False,0.5,False,38.68428994193037,42.058048324595426,0.19915791537595112,0.5505473793046175,False,0.36103933522133813,False,,False,inconclusive_under_available_power,power,inconclusive_under_available_power,False,inconclusive_under_available_power
P4_gdp,C3,acc_pct_below_peak,pct_below_peak,higher_is_worse,270,27,0.10574050473871371,0.03483353971523497,0.002400619095181543,0.03746802144280756,0.17401298803461987,46.80911020495424,13.273438334057213,2.4996089184447237,0.7602663599545874,False,0.6,False,40.24658350416925,34.518814590754516,0.37289651820976333,0.6136611275095405,True,0.006401650920484114,True,0.1155,True,inconclusive_under_available_power,bootstrap,inconclusive_under_available_power,False,inconclusive_under_available_power
P4_gdp,C3,pct_below_peak,acc_pct_below_peak,higher_is_worse,270,27,0.9888655881712447,0.282154964817297,0.00045713982354776196,0.43585201907017646,1.541879157272313,4.4076282781336165,13.273438334057213,2.6472594129216027,0.7602663599545874,False,0.4,False,35.449111967662525,34.518814590754516,0.32836645788405583,0.5120022411691858,True,0.0018285592941910478,True,0.148,True,inconclusive_under_available_power,bootstrap,inconclusive_under_available_power,False,inconclusive_under_available_power
P5_threshold,C3,acc_threshold_shortfall,arop_threshold_real,higher_is_worse,260,26,0.1847654014000279,0.023143351684573526,1.4221873743759282e-15,0.1394052656167194,0.2301255371833364,55.50057773644619,13.33000848990337,1.5459424954073673,-0.5410879788056862,False,0.5,False,53.04592066147311,41.68855411111706,0.7692858208736421,0.9581464464376935,True,2.275499799001485e-14,True,0.0755,True,inconclusive_under_available_power,bootstrap,inconclusive_under_available_power,False,inconclusive_under_available_power
P5_threshold,C3,arop_threshold_real,acc_threshold_shortfall,lower_is_worse,260,26,0.12147850140475738,0.050544293336706764,0.016243104152875464,0.02241350684078429,0.22054349596873046,33.10139660974431,13.33000848990337,1.7250870203481061,-0.5410879788056862,False,0.6,False,51.62249996651882,41.68855411111706,0.30165832659461456,0.5476588957381386,True,0.025988966644600743,True,0.0075,True,contradicts_direction,direction,inconclusive_under_available_power,False,contradicts_direction
P6_wadj,C4,acc_wadj_excess,wadj_a01,higher_is_worse,270,27,-0.012384523425206437,0.011245681940186752,0.2707795014160036,-0.03442565500956499,0.009656608159152116,425.56449564783907,13.273438334057213,3.805270840888388,0.793343106940417,False,0.8,False,38.843666000247495,38.4199804602499,0.39706467402375384,1.1037333464609502,True,0.36103933522133813,False,,False,inconclusive_under_available_power,power,inconclusive_under_available_power,False,inconclusive_under_available_power
P6_wadj,C4,wadj_a01,acc_wadj_excess,higher_is_worse,270,27,0.44493220125218325,0.16842686723770778,0.008249261127551274,0.1148216074373668,0.7750427950669997,29.321237013891196,13.273438334057213,3.35480112259324,0.793343106940417,False,0.8,False,47.704542043326235,38.4199804602499,0.9828623299928286,1.7120818975562242,True,0.018855454005831485,True,0.0035,True,supported,,supported,False,supported
P7_hicp,C5,acc_hicp_compounded,hicp,higher_is_worse,270,27,-0.16669075190505173,0.20701001747722114,0.42068675707281566,-0.5724229305994123,0.23904142678930884,20.03107900505573,13.273438334057213,3.9536706621957953,0.6653842006324989,False,0.8,False,46.66758205523671,46.67373680189375,0.25155468664475455,0.8638491895292921,False,0.5177683163973116,False,,False,inconclusive_under_available_power,power,inconclusive_under_available_power,False,inconclusive_under_available_power
P7_hicp,C5,hicp,acc_hicp_compounded,higher_is_worse,270,27,-0.14457694923136366,0.47773869153282167,0.7621736216619945,-1.0809275786569845,0.7917736801942573,3.670877759059899,13.273438334057213,7.76111921363025,0.6653842006324989,False,0.5,False,46.63434295724694,46.67373680189375,0.03998393589130584,0.2989393484780317,False,0.8129851964394609,False,,False,unsupported_with_adequate_power,fdr,inconclusive_under_available_power,False,unsupported_with_adequate_power
P8_housing,C6,acc_housing_excess,housing_cost_overburden,higher_is_worse,269,27,0.2422814329037196,0.053430602483271604,5.773822858277513e-06,0.13755937636423088,0.3470034894432083,36.65416348026959,13.29793052674207,2.568444212926919,0.7606777653393741,False,0.6,True,49.6319100948561,24.64842378254108,0.66781994627119,0.9564738366392628,True,3.0793721910813404e-05,True,0.0015,True,supported,,supported,False,supported
P8_housing,C6,housing_cost_overburden,acc_housing_excess,higher_is_worse,269,27,0.08813557398196786,0.45370951646373764,0.8459758190767375,-0.8011187377300406,0.9773898856939764,6.3641375139447645,13.29793052674207,2.5151401326108145,0.7606777653393741,False,0.6,True,17.730644116194004,24.64842378254108,0.04218001527107657,0.4677602747875952,False,0.8459758190767375,False,,False,inconclusive_under_available_power,power,inconclusive_under_available_power,False,inconclusive_under_available_power
