construct,var,counterpart,adverse,coef,se,p_raw,std_effect,ci_abs_std_upper,greece_improves,n,is_duration,p_fdr,fdr_rejected,boot_p,loo_sign_stable,boot_exceedances,bootstrap_borderline,outcome,failed_gate,between,between_p,within,within_p,within_ci_lo,within_ci_hi,fd_coef,fd_p,fd_n,dynamic_permitted
C2,acc_cum_excess_unemployment,ltu_rate,higher_is_worse,0.4145337649753832,0.03467880014634216,6.223166387032333e-33,0.7772053250428026,0.9046401159066788,True,270,False,4.978533109625866e-32,True,0.0025,True,4.0,False,supported,,0.43055450238480714,1.0515753955204408e-33,-0.11152965372490622,0.5322056015397751,-0.4614802921781581,0.23842098472834564,-0.043235272693062696,0.748383773767804,243.0,False
C3,acc_real_wages_shortfall,real_wages_idx,higher_is_worse,0.09517534689776902,0.044488514567184965,0.032409437360893356,0.5235603246487507,1.003225574269023,True,270,False,0.03703935698387812,True,0.074,True,147.0,False,inconclusive_under_available_power,bootstrap,0.10845378328682037,0.03357472618409016,-0.042327525105891245,0.16613761149903683,-0.10223879154612892,0.01758374133434642,-0.0441966276060008,0.10662710143697493,243.0,False
C3,acc_pct_below_peak,pct_below_peak,higher_is_worse,0.1745289344490699,0.042643282074448674,4.262595723310946e-05,0.6154806253642804,0.9102250938233502,True,270,False,6.820153157297514e-05,True,0.3145,True,628.0,False,inconclusive_under_available_power,bootstrap,0.18446976321044467,9.998707148102123e-05,0.008428707865993278,0.6844256314351851,-0.03221766618717259,0.049075081919159144,0.026390626999006,0.18757434660746597,243.0,False
C3,acc_threshold_shortfall,arop_threshold_real,higher_is_worse,0.14765400559838762,0.031069813423913167,2.010858488248997e-06,0.6147694971100786,0.8683137753707723,False,260,False,4.021716976497994e-06,True,0.6065,False,1212.0,False,inconclusive_under_available_power,bootstrap,0.16229055865807315,9.70156767542317e-06,0.00029044210026511145,0.9820273229062747,-0.024979149212616784,0.025560033413147006,-0.0029732350924916214,0.8520991676372144,234.0,False
C4,acc_wadj_excess,wadj_a01,higher_is_worse,0.013517350674382006,0.0025797148269681492,1.606963910430718e-07,0.4333846571975614,0.5954916473948905,False,270,False,4.285237094481915e-07,True,0.0025,True,4.0,False,inconclusive_under_available_power,greece_residual,0.015359937064794778,3.0299512280850784e-08,-0.03370410440419247,1.0111139500047986e-05,-0.048667202649015764,-0.018741006159369175,-0.030885887502746685,3.3997721797117622e-06,243.0,False
C5,acc_hicp_compounded,hicp,higher_is_worse,-0.17927349087968694,0.19857152138442336,0.3666237070413477,0.27054342431449674,0.8578785323195025,True,270,False,0.3666237070413477,False,,False,,False,inconclusive_under_available_power,power,-0.19599328916509073,0.4722789086319755,-0.1255311639476726,0.12145096385184471,-0.2843964388361339,0.0333341109407887,-0.021106855702108913,0.6627783030048352,243.0,False
C6,acc_housing_excess,housing_cost_overburden,higher_is_worse,0.2540445434090798,0.022071079117632335,1.1708264979475992e-30,0.7002435609556609,0.8194805254634213,True,269,False,4.683305991790397e-30,True,0.046,True,91.0,True,supported,,0.27766674372892813,7.695843537489408e-39,-0.03899772474118048,0.5751218448183135,-0.17535957563129112,0.09736412614893014,-0.012969977162982912,0.8027868658241721,242.0,False
C3,dur_real_wages_below,,higher_is_worse,1.7202428813109074,0.7331652022005664,0.018959633990978785,0.513621694267091,0.9426673657960309,True,270,True,0.025279511987971712,True,0.0245,True,48.0,False,supported,,2.156313753473756,0.019417531405592166,0.2765375477440609,0.3250636766445404,-0.27422014205671486,0.8272952375448367,0.1223440448140753,0.2361759771151235,243.0,False
