,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
real_income_idx,-0.3984,-0.2192,-0.2915,-0.4792,-0.3851,-0.1421,-0.6413,-0.5715,-0.5028,0.3326,0.3092,0.4754,1.0,0.744,-0.639,0.6477,0.6734,0.4537,0.3989,0.4219,0.294,-0.3491,-0.3296,0.1267,-0.0048,-0.2586,-0.029,-0.062,0.1036,-0.242,-0.308,-0.1971,0.1529,-0.2454,-0.3181
arop_threshold_real,-0.4958,-0.3655,-0.445,-0.5821,-0.5271,-0.5413,-0.4057,-0.3641,-0.2706,0.0924,0.4462,0.521,0.744,1.0,-0.4522,0.5448,0.5055,0.6233,0.5308,0.5801,0.5002,-0.2953,-0.4128,0.4086,0.1464,0.018,0.3813,0.2616,0.3962,-0.1844,-0.5457,0.0952,0.4418,-0.01,-0.1078
pct_below_peak,-0.017,-0.0785,-0.0493,0.0766,-0.1381,-0.3485,0.718,0.797,0.6221,-0.5512,0.2762,-0.4162,-0.639,-0.4522,1.0,-0.3785,-0.2677,-0.3785,0.1768,0.1867,0.1645,0.7653,0.0275,0.1398,0.0648,0.7441,0.2827,0.3288,0.153,0.4205,0.2131,0.6446,0.2192,0.6616,0.6818
hicp,-0.5072,-0.3783,-0.4598,-0.6218,-0.4511,-0.143,-0.4367,-0.3227,-0.3699,0.2782,0.3282,0.1755,0.6477,0.5448,-0.3785,1.0,0.8471,0.6752,0.4805,0.4895,0.2628,-0.1715,-0.5674,0.1333,0.1453,-0.2051,0.154,-0.0991,0.1514,-0.1617,-0.2854,-0.0468,0.1453,-0.0947,-0.13
hicp_food,-0.6019,-0.535,-0.5892,-0.672,-0.5552,-0.2394,-0.2504,-0.1205,-0.2013,0.1603,0.4495,0.2714,0.6734,0.5055,-0.2677,0.8471,1.0,0.3222,0.6372,0.6119,0.4049,-0.0154,-0.5658,0.3253,0.1284,0.0033,0.237,0.1477,0.3333,-0.0409,-0.3577,0.1586,0.3206,0.0781,0.0347
hicp_housing,-0.3265,-0.1452,-0.2346,-0.4358,-0.265,-0.166,-0.4945,-0.4212,-0.4423,0.2799,0.1585,0.3318,0.4537,0.6233,-0.3785,0.6752,0.3222,1.0,0.2218,0.2634,0.1369,-0.3089,-0.4093,0.1133,-0.0302,-0.256,0.0959,-0.0934,0.1112,-0.2551,-0.3267,-0.1792,0.1002,-0.2279,-0.2698
wadj_a01,-0.8872,-0.7121,-0.7721,-0.8548,-0.9419,-0.6962,0.1454,0.3354,0.1823,-0.1921,0.8275,0.2864,0.3989,0.5308,0.1768,0.4805,0.6372,0.2218,1.0,0.9681,0.6441,0.2179,-0.6239,0.4979,0.0677,0.5711,0.6665,0.5788,0.4495,0.0285,-0.4106,0.7094,0.5385,0.6476,0.6021
work_effort_squeeze,-0.8758,-0.7079,-0.7838,-0.8698,-0.9551,-0.7355,0.1432,0.3209,0.1963,-0.2678,0.8878,0.2391,0.4219,0.5801,0.1867,0.4895,0.6119,0.2634,0.9681,1.0,0.6251,0.198,-0.6729,0.5225,0.2024,0.5543,0.6793,0.5719,0.4934,0.0697,-0.4176,0.6983,0.5494,0.6228,0.583
severe_mat_soc_deprivation,-0.5356,-0.4215,-0.4621,-0.5323,-0.4843,-0.7377,0.2109,0.3576,0.3026,-0.496,0.539,0.3146,0.294,0.5002,0.1645,0.2628,0.4049,0.1369,0.6441,0.6251,1.0,0.41,-0.5045,0.7023,0.1163,0.6009,0.6267,0.6258,0.5868,0.458,-0.1746,0.679,0.8788,0.575,0.3951
housing_cost_overburden,-0.0347,-0.1254,-0.0693,0.0418,-0.0658,-0.4108,0.4986,0.6105,0.3967,-0.3866,0.1807,-0.1272,-0.3491,-0.2953,0.7653,-0.1715,-0.0154,-0.3089,0.2179,0.198,0.41,1.0,0.0727,0.2625,0.0564,0.6717,0.2084,0.3266,0.1783,0.4711,0.232,0.5726,0.3641,0.5756,0.5212
