geo,time,nominal_comp,wage_level_vs_eu
AT,2000,31943.3,130.4852044901227
AT,2001,32418.0,128.0109301701126
AT,2002,33088.4,127.03100105576351
AT,2003,33653.4,126.18211132149753
AT,2004,34336.9,125.89009103474572
AT,2005,35025.1,125.16921471506886
AT,2006,36099.8,125.91050190087546
AT,2007,37163.6,125.95823716221483
AT,2008,38513.8,125.59612324228434
AT,2009,38983.0,126.63890224411035
AT,2010,39397.1,123.74393798527528
AT,2011,40225.5,123.33359905810788
AT,2012,41271.0,124.5623672010817
AT,2013,42137.7,125.3590808482281
AT,2014,42879.7,126.23520302872402
AT,2015,43723.7,126.89130989970283
AT,2016,44746.7,128.01120287910558
AT,2017,45455.2,127.180853147401
AT,2018,46738.7,127.5852844270104
AT,2019,48040.0,128.09983467548398
AT,2020,48869.5,130.44876757085734
AT,2021,50309.9,128.49367618814108
AT,2022,52722.6,128.44196278485083
AT,2023,56318.4,129.4881257026977
AT,2024,60398.3,131.91261198691322
BE,2000,37726.3,154.10818450678912
BE,2001,39107.1,154.424586564736
BE,2002,40724.2,156.34590651694018
BE,2003,41536.8,155.74061228698378
BE,2004,42273.9,154.98967930691873
BE,2005,43028.3,153.77025394715213
BE,2006,44555.4,155.4023229046772
BE,2007,46126.6,156.33644809132105
BE,2008,47824.3,155.95829746158464
BE,2009,48349.2,157.0656340553816
BE,2010,49050.6,154.06500489986684
BE,2011,50632.3,155.24142117785573
BE,2012,52314.3,157.89278298242223
BE,2013,53564.7,159.35424947045243
BE,2014,54109.1,159.29386689276114
BE,2015,54210.3,157.32465406760772
BE,2016,54617.2,156.24869476159552
BE,2017,55667.3,155.75368068806904
BE,2018,56682.4,154.72916717849606
BE,2019,57856.6,154.27603861127406
BE,2020,57143.1,152.5337269703651
BE,2021,59970.9,153.16829103837196
BE,2022,64491.0,157.1119524067063
BE,2023,69349.2,159.44874014498853
BE,2024,71693.9,156.5827119724985
BG,2000,2200.9,8.990457672260257
BG,2001,2494.8,9.851368640520604
BG,2002,2642.3,10.144159708225358
BG,2003,2752.0,10.318516713222474
BG,2004,2914.9,10.686958530245313
BG,2005,3182.4,11.372944228831185
BG,2006,3382.7,11.798332810156603
BG,2007,3810.8,12.915908312912858
BG,2008,4450.9,14.514687850564815
BG,2009,4810.4,15.626908533336797
BG,2010,5287.2,16.606779405482825
BG,2011,5644.9,17.307574382496504
BG,2012,6082.1,18.35673411242032
BG,2013,6617.4,19.68667444129757
BG,2014,6987.3,20.570182023722257
BG,2015,7381.5,21.421979476225854
BG,2016,7809.6,22.341676369534802
BG,2017,8629.7,24.145369691611226
BG,2018,9464.4,25.835510314386088
BG,2019,10119.0,26.98256093008373
BG,2020,10843.6,28.945134614255284
BG,2021,12068.7,30.823985533897268
BG,2022,13776.9,33.563065499247216
BG,2023,15629.2,35.93489542019309
BG,2024,17832.1,38.94611087086614
CY,2000,17758.7,72.54252381497034
CY,2001,18361.4,72.50477800066339
CY,2002,19265.9,73.96448795469816
CY,2003,20472.7,76.76159052136255
CY,2004,20994.3,76.97183898985529
CY,2005,22582.0,80.70130297117453
CY,2006,23581.3,82.24791601269575
CY,2007,23741.1,80.46548515999146
CY,2008,24399.2,79.56745193185672
CY,2009,25755.5,83.66847720155411
CY,2010,26050.4,81.82275045857729
CY,2011,26640.6,81.68154725404106
CY,2012,27099.5,81.79055196059493
CY,2013,25668.1,76.36224623366734
CY,2014,24738.0,72.82715253428952
CY,2015,24408.9,70.83749303491828
CY,2016,24184.3,69.18636086659247
CY,2017,24558.5,68.7131721347711
CY,2018,25017.6,68.29196386893891
CY,2019,26401.3,70.39971201535919
CY,2020,26545.3,70.85813584748523
CY,2021,27755.3,70.88824526991132
CY,2022,29777.8,72.54420456151121
CY,2023,32569.1,74.8833723050323
CY,2024,33633.3,73.45664452044923
CZ,2000,6330.6,25.859871570725968
CZ,2001,7174.5,28.330384925210467
CZ,2002,8548.4,32.81850465495729
CZ,2003,8914.1,33.42307043362516
CZ,2004,9610.1,35.23370962005917
CZ,2005,10689.7,38.20178542073175
CZ,2006,11900.1,41.50570262634718
CZ,2007,12894.8,43.70422339491674
CZ,2008,14981.4,48.85536510918056
CZ,2009,14046.7,45.631651441714205
CZ,2010,15253.9,47.91158881322713
CZ,2011,16123.0,49.43400623022394
CZ,2012,16025.2,48.366573305002895
CZ,2013,15492.1,46.08878549158674
CZ,2014,15028.4,44.242686520588435
CZ,2015,15649.1,45.41552516716197
CZ,2016,16571.2,47.40683100988977
CZ,2017,18272.2,51.124491474681456
CZ,2018,20308.1,55.43617419124129
CZ,2019,21854.8,58.27635859420831
CZ,2020,22059.5,58.88406036954189
CZ,2021,24163.4,61.71437620040047
CZ,2022,26954.8,65.66685668903084
CZ,2023,29511.1,67.85237198544137
CZ,2024,29789.6,65.06183031716704
DE,2000,31550.0,128.87861309455727
DE,2001,32154.2,126.96924705027561
DE,2002,32581.3,125.08417314521547
DE,2003,33208.0,124.51210138542585
DE,2004,33351.3,122.276565244012
DE,2005,33440.2,119.50525691332345
DE,2006,33843.7,118.04157511073906
DE,2007,34178.6,115.8412049605656
DE,2008,34964.0,114.0199838251024
DE,2009,35121.7,114.09520901282534
DE,2010,36005.1,113.08986858305903
DE,2011,37081.5,113.69392185238785
DE,2012,38063.0,114.88011879466872
DE,2013,38847.9,115.571970868934
DE,2014,40007.1,117.77844507052205
DE,2015,41164.3,119.46363066493315
DE,2016,42145.2,120.56884077664903
DE,2017,43312.9,121.18682954399199
DE,2018,44677.7,121.95925564991414
DE,2019,46155.4,123.0745026931897
DE,2020,46278.9,123.53360418123675
DE,2021,47757.1,121.9737137836623
DE,2022,49853.1,121.45133234911492
DE,2023,52969.4,121.78805373725947
DE,2024,55708.0,121.6687851904269
DK,2000,34847.4,142.34816424568226
DK,2001,36247.2,143.13152532735225
DK,2002,37719.7,144.81121028889527
DK,2003,39057.5,146.44457359254608
DK,2004,40236.6,147.52028391988355
DK,2005,41471.9,148.20814660748619
DK,2006,42878.1,149.5521607198912
DK,2007,44545.6,150.97797977949276
DK,2008,46263.4,150.86809631890637
DK,2009,47620.2,154.69742843406058
DK,2010,49156.2,154.39668819257733
DK,2011,49850.8,152.84529912433467
DK,2012,50786.9,153.28284962333396
DK,2013,51500.8,153.214175214794
DK,2014,52259.9,153.8499356749421
DK,2015,53093.8,154.08444000742944
DK,2016,53921.8,154.2592968734355
DK,2017,54859.1,153.49238680939885
DK,2018,55723.8,152.1124223042969
DK,2019,56625.9,150.9943469681617
DK,2020,58147.9,155.21586862630997
DK,2021,60099.6,153.49699644477136
DK,2022,61622.4,150.12351453671084
DK,2023,63821.0,146.7382182461126
DK,2024,66600.1,145.45762297266015
EE,2000,5208.4,21.275796147121774
EE,2001,5732.5,22.636271737928638
EE,2002,6315.4,24.245704962088492
EE,2003,7023.4,26.33396449260419
EE,2004,7889.0,28.92360487327362
EE,2005,8724.6,31.179106717842057
EE,2006,10010.9,34.91646611558718
EE,2007,12579.0,42.63388544875901
EE,2008,13866.6,45.219926430304454
EE,2009,13349.0,43.365125979443064
EE,2010,13699.8,43.03025353669875
EE,2011,13988.4,42.88920503323604
EE,2012,14817.5,44.721544813598605
EE,2013,15664.4,46.601375633672085
EE,2014,16688.9,49.13109652880203
EE,2015,17288.5,50.173256407875186
EE,2016,18364.6,52.53738345830245
EE,2017,19665.8,55.02369853891653
EE,2018,21512.7,58.72443923970813
EE,2019,23195.9,61.8524345368247
EE,2020,24229.7,64.6770378991314
EE,2021,26502.5,67.68853949572964
EE,2022,28519.3,69.47826680114403
EE,2023,30977.9,71.22486095495607
EE,2024,33155.2,72.4124525516199
EL,2000,16201.6,66.18192513194228
EL,2001,16906.0,66.75775141760515
EL,2002,18621.4,71.49016220366639
EL,2003,20091.7,75.33304587465553
EL,2004,20922.7,76.7093304198304
EL,2005,22484.5,80.35286717985005
EL,2006,23441.1,81.75892016323114
EL,2007,24599.4,83.37451321314909
EL,2008,25433.5,82.94037463149931
EL,2009,26213.2,85.15534649219694
EL,2010,25822.9,81.10818654672462
EL,2011,24945.4,76.48397066398489
EL,2012,23992.8,72.41404288197798
EL,2013,22006.7,65.46963133969584
EL,2014,21044.2,61.952832216108646
EL,2015,20909.1,60.680662611441306
EL,2016,20142.5,57.623593560919225
EL,2017,20347.3,56.930493612306456
EL,2018,19649.7,53.63890231019318
EL,2019,19609.5,52.28921124206709
EL,2020,19520.5,52.10663434999173
EL,2021,19836.0,50.662008091210005
EL,2022,20232.0,49.28887784485404
EL,2023,20907.5,48.07084342114037
EL,2024,22114.4,48.29884726098903
ES,2000,22773.1,93.02584925082922
ES,2001,23406.9,92.42825101483155
ES,2002,24211.4,92.95095498608312
ES,2003,24686.1,92.55956956187548
ES,2004,25355.5,92.96139730818726
ES,2005,25989.7,92.87940190549706
ES,2006,26900.0,93.82302675177009
ES,2007,27982.6,94.84116089978885
ES,2008,29897.0,97.49615193968329
ES,2009,31094.1,101.01127902594956
ES,2010,31478.0,98.87051787823204
ES,2011,31482.1,96.52585297652628
ES,2012,31123.1,93.93440940699246
ES,2013,31078.9,92.45930218720994
ES,2014,31143.8,91.68543427509928
ES,2015,31512.7,91.45355451337296
ES,2016,31496.4,90.1047909759035
ES,2017,31728.5,88.77439102869006
ES,2018,32270.6,88.09088998261144
ES,2019,33374.3,88.99338701935898
ES,2020,33626.3,89.75965362788489
ES,2021,35238.5,90.00066405132607
ES,2022,36889.5,89.86961542396912
ES,2023,38749.7,89.09390225116167
ES,2024,40514.2,88.48484054286625
FI,2000,31375.0,128.16375549419126
FI,2001,32521.3,128.4188371688964
FI,2002,33059.6,126.92043382282368
FI,2003,33756.8,126.56980559044639
FI,2004,34935.9,128.08621720017746
FI,2005,36116.9,129.07098083781833
FI,2006,37304.2,130.11126225105505
FI,2007,38497.2,130.47819499944075
FI,2008,40128.8,130.86274816727976
FI,2009,40976.1,133.1136218927453
FI,2010,42173.4,132.46413046209514
FI,2011,43637.5,133.79497902818318
FI,2012,44747.6,135.05529264052538
FI,2013,45402.6,135.07211366827713
FI,2014,45844.1,134.96221454835566
FI,2015,46312.1,134.40315053863299
FI,2016,46784.7,133.84150615214287
FI,2017,46538.6,130.2121396954724
FI,2018,47112.7,128.60621347244174
FI,2019,47948.8,127.8566476454589
FI,2020,48237.5,128.76175172038248
FI,2021,50206.6,128.22984348821055
FI,2022,51474.8,125.4020921949532
FI,2023,53149.7,122.20260225185145
FI,2024,54044.1,118.03475252584818
FR,2000,31996.5,130.70252120063398
FR,2001,32847.7,129.7077127197485
FR,2002,34001.6,130.5369037335637
FR,2003,34990.8,131.1966404829306
FR,2004,36187.8,132.67608422272167
FR,2005,37309.6,133.33333333333334
FR,2006,38470.2,134.1780893585853
FR,2007,39400.5,133.5397411259901
FR,2008,40401.0,131.7504108945762
FR,2009,41038.5,133.31633249736868
FR,2010,42171.1,132.4569062994698
FR,2011,43265.6,132.6547131398857
FR,2012,44239.6,133.5220687656944
FR,2013,45114.2,134.21412761501298
FR,2014,45708.6,134.563310871082
FR,2015,46239.7,134.1930372399703
FR,2016,46749.0,133.73937571698713
FR,2017,47664.7,133.36289821659403
FR,2018,48383.4,132.07491544578292
FR,2019,48359.8,128.95258919524292
FR,2020,46661.9,124.55595714125555
FR,2021,48980.3,125.09781986841568
FR,2022,51415.8,125.25835732974726
FR,2023,53730.1,123.53706679910147
FR,2024,55386.9,120.96748830443842
HR,2000,10263.5,41.925377036322935
HR,2001,10681.1,42.17710982293756
HR,2002,11951.5,45.8834821000096
HR,2003,12626.9,47.344069290039556
HR,2004,13394.6,49.10890072703142
HR,2005,14323.6,51.18825539092709
HR,2006,14918.6,52.033762338251194
HR,2007,15690.2,53.178646114008956
HR,2008,16645.0,54.28047794213561
HR,2009,16361.8,53.15240978728381
HR,2010,16853.0,52.9342664019901
HR,2011,17126.7,52.511405724938065
HR,2012,16795.8,50.69236526946107
HR,2013,16655.4,49.54958707189948
HR,2014,15732.5,46.31551367312272
HR,2015,15924.4,46.214478083209514
HR,2016,16304.3,46.64328442324912
HR,2017,16764.6,46.9063194238485
HR,2018,17816.1,48.63362023077363
HR,2019,18090.5,48.2387605994347
HR,2020,18002.9,48.05566084575017
HR,2021,19164.6,48.947223243839645
HR,2022,21499.3,52.37625402579432
HR,2023,24404.5,56.11119924769676
HR,2024,26583.0,58.05847125578226
HU,2000,6248.7,25.525318213754677
HU,2001,7352.4,29.03286948555543
HU,2002,8648.9,33.20433822823688
HU,2003,9146.8,34.295570011810796
HU,2004,10303.1,37.77446994166883
HU,2005,11319.9,40.45393142783627
HU,2006,11167.4,38.95015869694116
HU,2007,12472.1,42.27157029219074
HU,2008,13457.2,43.884845164488276
HU,2009,11661.7,37.88381823615786
HU,2010,12096.5,37.99438399879388
HU,2011,12430.9,38.113824229193746
HU,2012,12355.9,37.29204896658296
HU,2013,12026.1,35.77748292357855
HU,2014,11621.4,34.21268778648202
HU,2015,11810.2,34.2745867384844
HU,2016,12119.5,34.671423217652254
HU,2017,13054.6,36.52596766702294
HU,2018,13492.8,36.832062631540154
HU,2019,14433.8,38.48808063569943
HU,2020,13922.1,37.16266356312696
HU,2021,14712.7,37.57687671120919
HU,2022,15777.9,38.437869995468695
HU,2023,18606.8,42.78103883144683
HU,2024,20241.2,44.20769395412632
IE,2000,28837.6,117.79872877894151
IE,2001,31211.0,123.24477578935729
IE,2002,32799.3,125.92110567232942
IE,2003,34929.0,130.96492379220487
IE,2004,36789.5,134.88210945434147
IE,2005,38869.8,138.90902073460987
IE,2006,40576.9,141.525932126539
IE,2007,42952.2,145.57748426521877
IE,2008,44771.7,146.003561086327
IE,2009,44826.3,145.6212560260925
IE,2010,43805.6,137.59077317385734
IE,2011,45676.0,140.04513233093772
IE,2012,46344.9,139.8761951902646
IE,2013,45779.8,136.19427850631888
IE,2014,46249.7,136.1562760354568
IE,2015,47260.6,137.1558088781575
IE,2016,48390.6,138.43565925625012
IE,2017,49722.9,139.12161519392512
IE,2018,51113.3,139.52687855038994
IE,2019,53153.1,141.73404085115462
IE,2020,54657.2,145.89804231420138
IE,2021,57225.0,146.15514282211598
IE,2022,59655.7,145.3322711570413
IE,2023,62096.3,142.77276165644665
IE,2024,66230.9,144.65127351670574
IT,2000,28064.8,114.64191761572522
IT,2001,28936.5,114.2633191704443
IT,2002,29564.6,113.50263940877244
IT,2003,30365.2,113.85313361204327
IT,2004,31410.6,115.16133644726182
IT,2005,32220.4,115.14605713632237
IT,2006,32933.5,114.8669387185658
IT,2007,33664.1,114.09741498812053
IT,2008,34603.2,112.84339046724583
IT,2009,34776.5,112.97380355263329
IT,2010,35588.6,111.7816669598211
IT,2011,35957.8,110.24859574676839
IT,2012,35495.2,107.13009464941084
IT,2013,35789.6,106.47357022157699
IT,2014,35879.4,105.6267498034921
IT,2015,36258.8,105.227293833581
IT,2016,36362.3,104.02514067966804
IT,2017,36545.0,102.25066171245027
IT,2018,37137.6,101.37661635724872
IT,2019,37616.3,100.30478374486695
IT,2020,36102.5,96.3694457939385
IT,2021,38553.6,98.46757386293982
IT,2022,39990.5,97.4242224918266
IT,2023,41048.5,94.37933833182736
IT,2024,42416.0,92.63845753997894
LT,2000,4339.8,17.72765150896227
LT,2001,4790.0,18.914564609625497
LT,2002,5203.6,19.97734907380747
LT,2003,5678.2,21.290189535254306
LT,2004,6363.3,23.32989921284092
LT,2005,7262.0,25.9522124779324
LT,2006,8765.8,30.573750479578663
LT,2007,9997.7,33.8851098299593
LT,2008,11374.0,37.091388171453914
LT,2009,10319.0,33.521966812635625
LT,2010,10302.1,32.35828077493279
LT,2011,10935.9,33.530071868331326
LT,2012,11390.4,34.37801815723392
LT,2013,12002.4,35.706975747911564
LT,2014,12555.7,36.96320959959492
LT,2015,13283.2,38.54940564635959
LT,2016,14115.6,40.38185911721541
LT,2017,15460.3,43.25696826578177
LT,2018,16685.6,45.54763016162889
LT,2019,18447.2,49.189909871473525
LT,2020,19666.5,52.496356366082445
LT,2021,21986.9,56.15550038821463
LT,2022,24537.2,59.77713787340612
LT,2023,27505.1,63.24014613812306
LT,2024,29479.6,64.38477633193992
LU,2000,43364.8,177.14089639058184
LU,2001,44740.7,176.67032585174772
LU,2002,46530.8,178.6382570304252
LU,2003,47117.9,176.6667291576836
LU,2004,48843.2,179.07484060670276
LU,2005,50881.1,181.8338086354897
LU,2006,52985.1,184.80380872658785
LU,2007,55185.1,187.03833626506963
LU,2008,56641.7,184.7124390180272
LU,2009,57481.7,186.73317566952974
LU,2010,58562.1,183.94005829585146
LU,2011,60824.6,186.49157448061027
LU,2012,61594.8,185.9027911918099
LU,2013,63484.9,188.86670871313993
LU,2014,64795.0,190.75250013983708
LU,2015,65842.0,191.0812128528975
LU,2016,66278.9,189.61044534019157
LU,2017,68330.9,191.18565440983082
LU,2018,70532.8,192.5373908438497
LU,2019,71843.0,191.57111620713562
LU,2020,72615.7,193.8351849577979
LU,2021,76460.6,195.28370315884112
LU,2022,79874.2,194.5882605157889
LU,2023,85889.8,197.47914036939193
LU,2024,88874.4,194.10569904731952
LV,2000,4558.8,18.62224473456316
LV,2001,4736.5,18.70330590260776
LV,2002,4772.9,18.323831461752565
LV,2003,4853.4,18.197634090099545
LV,2004,5367.2,19.677877053597946
LV,2005,6474.0,23.136136543945792
LV,2006,7932.9,27.668724495134455
LV,2007,10622.1,36.00138283053209
LV,2008,12458.0,40.62638595392763
LV,2009,11053.8,35.90901412477098
LV,2010,10278.7,32.2847827725708
LV,2011,10574.9,32.423225980524414
LV,2012,11505.8,34.7263135020282
LV,2013,12090.8,35.969964538163126
LV,2014,13064.2,38.46020236633783
LV,2015,14065.9,40.82089292347697
LV,2016,15030.0,42.997771439524186
LV,2017,16145.6,45.17439550539163
LV,2018,17372.0,47.421335233244065
LV,2019,18279.5,48.74273372086822
LV,2020,18781.0,50.13266564520349
LV,2021,20201.6,51.595766417392014
LV,2022,22846.7,55.658768557632804
LV,2023,24163.6,55.55731828726856
LV,2024,26699.6,58.3131309160322
MT,2000,14409.2,58.86014934396496
MT,2001,15367.4,60.68218792942774
MT,2002,15585.6,59.83530089260006
MT,2003,15444.6,57.90892559194616
MT,2004,15762.2,57.789281877742866
MT,2005,16013.8,57.228523847302924
MT,2006,16781.5,58.531268529175826
MT,2007,17290.0,58.60083308760977
MT,2008,18054.7,58.87760559338395
MT,2009,18375.4,59.69372506724535
MT,2010,19269.7,60.52497675704199
MT,2011,20030.8,61.415536314356494
MT,2012,20696.5,62.465291191809925
MT,2013,21180.3,63.01110264892782
MT,2014,21807.3,64.1993517447252
MT,2015,22967.7,66.65496145988114
MT,2016,23793.1,68.06721727463359
MT,2017,24803.8,69.39950644365231
MT,2018,26603.3,72.62053923615944
MT,2019,27591.1,73.57234280838355
MT,2020,27980.2,74.6883558535713
MT,2021,29487.3,75.31184871889175
MT,2022,31355.8,76.38850315973085
MT,2023,32104.2,73.81446712237114
MT,2024,34547.3,75.45286175431241
NL,2000,32646.8,133.35893204359405
NL,2001,33604.1,132.69455544850024
NL,2002,35023.4,134.45973701890776
NL,2003,36147.0,135.53176730844942
NL,2004,37251.1,136.57448314042375
NL,2005,37669.8,134.62058022600084
NL,2006,38207.8,133.262878867148
