stage,var,name,adverse,n,countries,coef,se,ci_lo,ci_hi,p_raw,std_effect,ci_abs_std_upper,boot_p,loo_min,loo_max,loo_sign_stable,greece_resid_base,greece_resid_full,greece_improves,controls_for,p_fdr,fdr_rejected,outcome,failed_gate,notes
accumulated_given_current,acc_unmet_care,Unmet medical care,higher_is_worse,242,27,0.12198045950389896,0.07206562268661802,-0.019265565485325015,0.2632264844931229,0.09052585205225912,0.3239679834136484,0.699103394995616,0.081,0.07930548609529034,0.17061468008846056,True,47.75390226200746,52.16874297263731,False,unmet_care,0.2958179537028754,False,unsupported_with_adequate_power,fdr,does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.70 SD)
accumulated_given_current,acc_not_good_health,Not good or very good health,higher_is_worse,242,27,-0.023182351688444194,0.04326297922158269,-0.10797623282665098,0.061611529449762586,0.5920640717545032,-0.07136528640350122,0.3323974583771929,0.619,-0.04584674649516701,8.75690749275286e-05,False,47.75390226200746,47.76297239691334,False,not_good_health,0.7891068406519053,False,unsupported_with_adequate_power,fdr,coefficient -0.0232 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.33 SD)
accumulated_given_current,acc_chronic_illness,Long-standing illness,higher_is_worse,241,27,-0.023286140184908113,0.08706055692209233,-0.19392169622620836,0.14734941585639216,0.7891068406519053,-0.036702729434999415,0.30565200980708424,0.795,-0.08158404923878906,0.026099898014433583,False,47.65328853265552,45.478443312914216,True,chronic_illness,0.7891068406519053,False,unsupported_with_adequate_power,fdr,coefficient -0.0233 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.31 SD)
accumulated_given_current,acc_activity_limitation,Activity limitation,higher_is_worse,241,27,-0.15028328671663688,0.10386161461475639,-0.3538483107377383,0.05328173730446456,0.1479089768514377,-0.24088388438079636,0.5671712233230889,0.14,-0.18273352937585374,-0.06538702242833508,True,47.58230226596073,46.36106579402596,True,activity_limitation,0.2958179537028754,False,unsupported_with_adequate_power,fdr,coefficient -0.1503 contradicts pre-registered direction (higher_is_worse); does not survive FDR within its declared family; interval excludes effects of 0.7 SD (largest admitted 0.57 SD)
