variable,label,n_obs,n_countries,r2,coef,se,p_value_raw,greece_oos_residual,greece_oos_rank,p_fdr_bh,fdr_significant_05
work_effort_squeeze,Work-effort squeeze: relative hours / relative PPS hourly compensation,267,27,0.925830158687309,0.07839467583712215,0.022438822440933873,0.0004763631392701067,-3.4879006928627483,21,0.003017155798613305,True
employee_lfs_effort_squeeze,Employee-only LFS hours / relative PPS hourly compensation,267,27,0.9251597924580642,0.0740743085025983,0.02177775734993815,0.0006704790663585122,-2.655541367387923,19,0.003017155798613305,True
matched_employee_effort_squeeze,Matched national-accounts employee hours / PPS hourly compensation,267,27,0.9242583670203621,0.0525429224494949,0.017089557863275956,0.0021081118593226414,-5.3831317426100425,25,0.006324335577967925,True
cum_real_hourly_shortfall,Cumulative real hourly-compensation shortfall since 2008,267,27,0.9199069157705452,0.04351410662363457,0.020085748082746272,0.030279334076140245,-7.076735963666186,25,0.06812850167131555,False
annual_hours_per_employee,National-accounts annual hours per employee,267,27,0.9184845583826508,0.008457702137393573,0.0045759024853332915,0.06455701023992243,-5.305789355606478,25,0.09683551535988365,False
years_hourly_pay_below_2008,Years hourly compensation remained below own 2008 level,267,27,0.9184194596625874,0.4010418547244581,0.20993803224227228,0.056096294617810794,0.7694487881935018,15,0.09683551535988365,False
weekly_actual_hours,"LFS actual weekly hours, all employed",267,27,0.9176896336989344,0.8839355241717621,0.5432416640943739,0.1037053024243909,-0.48862554436656536,17,0.13333538883135973,False
real_hourly_comp_idx2008,"Real hourly compensation, own 2008=100",267,27,0.9158580370353263,-0.03579895735772995,0.028554858403384956,0.2099544885343272,2.093324021354533,11,0.2361987996011181,False
hourly_compensation_pps,"Hourly compensation, purchasing-power standard",267,27,0.9167172761268791,-0.26745693360964923,0.23610351193783122,0.25730025238611065,0.29504702675803857,16,0.25730025238611065,False
