year,n_life_sat,n_subj_poverty,gr_life_sat_value,gr_life_sat_rank_worst,gr_subj_poverty_value,gr_subj_poverty_rank_worst,gr_fin_expectations_value,gr_fin_expectations_rank_worst,n_fin_exp
2018,27,27,6.4,4,74.1,1,-41.36666666666667,1,27
2021,25,27,6.8,6,71.0,1,-26.858333333333334,1,27
2022,27,27,6.7,3,68.4,1,-49.425,1,27
2023,27,27,6.9,3,67.0,1,-35.625,1,27
2024,27,27,6.7,2,66.7,1,-43.24166666666667,1,27
