geo,age,time,arop_rate
EL,Y_LT18,2003,21.5
EL,Y_LT18,2004,20.5
EL,Y_LT18,2005,20.4
EL,Y_LT18,2006,22.6
EL,Y_LT18,2007,23.3
EL,Y_LT18,2008,23.0
EL,Y_LT18,2009,23.7
EL,Y_LT18,2010,23.0
EL,Y_LT18,2011,23.7
EL,Y_LT18,2012,26.9
EL,Y_LT18,2013,28.8
EL,Y_LT18,2014,25.5
EL,Y_LT18,2015,26.6
EL,Y_LT18,2016,26.3
EL,Y_LT18,2017,24.5
EL,Y_LT18,2018,22.7
EL,Y_LT18,2019,21.1
EL,Y_LT18,2020,20.9
EL,Y_LT18,2021,23.7
EL,Y_LT18,2022,22.4
EL,Y_LT18,2023,21.8
EL,Y_LT18,2024,22.4
EL,Y_LT18,2025,22.8
EU27_2020,Y_LT18,2013,20.7
EU27_2020,Y_LT18,2014,21.4
EU27_2020,Y_LT18,2015,21.4
EU27_2020,Y_LT18,2016,21.4
EU27_2020,Y_LT18,2017,20.0
EU27_2020,Y_LT18,2018,19.6
EU27_2020,Y_LT18,2019,18.7
EU27_2020,Y_LT18,2020,19.4
EU27_2020,Y_LT18,2021,19.6
EU27_2020,Y_LT18,2022,19.4
EU27_2020,Y_LT18,2023,19.5
EU27_2020,Y_LT18,2024,19.3
EU27_2020,Y_LT18,2025,19.6
