variable,n_obs,n_countries,r2,coef,se,p_value_raw,greece_oos_residual,greece_oos_rank,p_fdr_bh,fdr_significant_05
cum_real_hourly_shortfall,405,27,0.4732153129353487,0.21323403200555563,0.02631705194830314,5.38391477751635e-16,22.064617781855926,2,4.845523299764715e-15,True
work_effort_squeeze,405,27,0.5174784929594378,0.14987008020459308,0.028211904984557817,1.0825067968573153e-07,36.30365266570094,1,3.247520390571946e-07,True
employee_lfs_effort_squeeze,405,27,0.4985954891884574,0.13943530143706012,0.025985299857568284,8.053314903341316e-08,37.95431125386892,1,3.247520390571946e-07,True
hourly_compensation_pps,405,27,0.4735675730900647,-0.9470033336586795,0.2011176246758914,2.492969670686797e-06,36.85927754397666,1,5.609181759045294e-06,True
matched_employee_effort_squeeze,405,27,0.48916699994726276,0.11808180395637047,0.026948990394607176,1.1776865973111254e-05,36.69160680942861,1,2.1198358751600254e-05,True
weekly_actual_hours,405,27,0.5068319860961762,4.727403286122733,1.2697520828956805,0.00019679809883900272,31.98138207469477,1,0.0002951971482585041,True
annual_hours_per_employee,405,27,0.4126314741082494,0.03345658917047859,0.009848367227443132,0.000680863644406126,36.46497533019651,1,0.0008753961142364476,True
years_hourly_pay_below_2008,405,27,0.37900153644898826,1.9180844520669706,0.6117185830595608,0.0017152238731758882,36.43480119329142,1,0.0019296268573228744,True
real_hourly_comp_idx2008,405,27,0.2636348370857584,-0.08125345377903401,0.17798476554247986,0.6480167037348107,43.110097882208116,2,0.6480167037348107,False
