indicator,outcome,coef,p_raw,greece_resid,rank,p_fdr,sig
arop_threshold_real,hardship,-0.03965995617130055,0.9376809970829177,30.755904463889124,1.0,0.9376809970829177,False
arop_threshold_real,hardship_gap,-0.7286036185630631,0.17563103142226222,36.59430385610976,1.0,0.44368386822353595,False
consumption_pc,hardship,-0.2667554099717993,0.5703259478624916,27.564746845913152,1.0,0.6374231181992552,False
consumption_pc,hardship_gap,-1.0609889098214458,0.05731474231794159,32.6523495986732,1.0,0.360535055995002,False
employment_rate,hardship,0.34977321337569034,0.47641759673315087,26.84620068403467,1.0,0.591961161174061,False
employment_rate,hardship_gap,0.07615214995612807,0.8850079027156522,31.175826745863503,1.0,0.9341750084220773,False
hicp,hardship,-0.2579593761441037,0.4984936094097355,27.9785716893968,1.0,0.591961161174061,False
hicp,hardship_gap,0.21266251145016102,0.6897666712882873,30.42697218972477,1.0,0.9341750084220773,False
hicp_food,hardship,-0.30671579031270024,0.4600330942232659,26.93643413543702,1.0,0.591961161174061,False
hicp_food,hardship_gap,-0.42255138347589,0.4792704596484437,30.6539188668087,1.0,0.7588448944433692,False
hicp_housing,hardship,0.4199366999987077,0.3643952632678421,25.41246593212236,1.0,0.591961161174061,False
hicp_housing,hardship_gap,0.6785835415413777,0.19658287456909496,25.43453809987428,1.0,0.44368386822353595,False
hourly_comp,hardship,-0.4110899839592352,0.44424155604558135,30.57200208160068,1.0,0.591961161174061,False
hourly_comp,hardship_gap,-1.0060879538287006,0.16674133205854125,36.57939856288004,1.0,0.44368386822353595,False
min_wage,hardship,-2.794905710042096,4.715139966805944e-05,11.474352066444487,1.0,0.0008958765936931294,True
min_wage,hardship_gap,-1.785348300052192,0.0948776463144742,14.590638231149839,1.0,0.360535055995002,False
net_migration,hardship,-0.7503905987742044,0.14091761062289115,37.438508090119875,1.0,0.3824906574049903,False
net_migration,hardship_gap,-0.24238476582111007,0.6966887878116723,42.70224106225892,1.0,0.9341750084220773,False
real_gdp_pc,hardship,0.33703175107693295,0.3537321200212974,26.94767899022845,1.0,0.591961161174061,False
real_gdp_pc,hardship_gap,-0.4380297671879053,0.3346506761535244,30.93439791435774,1.0,0.6358362846916964,False
real_income_idx,hardship,0.4291813300246624,0.40834912667497125,26.58367072814152,1.0,0.591961161174061,False
real_income_idx,hardship_gap,0.10224090629295421,0.8752921685295562,31.18765890098849,1.0,0.9341750084220773,False
real_wages_idx,hardship,0.19436279085007047,0.6604593482860792,29.255228918624557,1.0,0.6971515343019725,False
real_wages_idx,hardship_gap,-0.010016506571920991,0.9848292922843459,35.11196423534183,1.0,0.9848292922843459,False
s80s20,hardship,-1.2063390808779155,0.053050853645738874,27.71981370792421,1.0,0.31722407745767767,False
s80s20,hardship_gap,-2.1040230401702766,0.0016521285909675899,30.069073474535486,1.0,0.03139044322838421,True
unemployment,hardship,1.535962655876174,0.00011644088455157386,19.02294750235069,1.0,0.0011061884032399518,True
unemployment,hardship_gap,1.3721473792976795,0.011300427588139131,24.183733258428813,1.0,0.10735406208732175,False
wadj_a01,hardship,-0.3110184389717907,0.10110118343084884,29.558280618937225,1.0,0.3824906574049903,False
wadj_a01,hardship_gap,-0.5680476247362044,0.08931361474669089,34.7480554362841,1.0,0.360535055995002,False
warm,hardship,1.0780920770575904,0.06678401630687951,33.147470871164266,1.0,0.31722407745767767,False
warm,hardship_gap,0.5616776111111549,0.43268537031212506,44.31435764017603,1.0,0.7473656396300342,False
work_effort_squeeze,hardship,0.9658626585825536,0.45803129299953793,29.212748248804825,1.0,0.591961161174061,False
work_effort_squeeze,hardship_gap,1.5428896967819914,0.21016604284272755,30.112824326334156,1.0,0.44368386822353595,False
working_hours,hardship,-0.9746776977535561,0.12611687521082046,28.081627979889127,1.0,0.3824906574049903,False
working_hours,hardship_gap,-0.26012576330431125,0.7942590425840275,31.192810965079154,1.0,0.9341750084220773,False
youth_unemployment,hardship,0.3886497165329783,0.41060766248328795,30.62146209833596,1.0,0.591961161174061,False
youth_unemployment,hardship_gap,0.08888263814305519,0.8679757167009882,32.86062918267297,1.0,0.9341750084220773,False
