construct,variable,gr_first,gr_last,gr_change,gap_first,gap_last,gap_shift,gap_shift_rel,trend,rank_first,rank_last
C1,aic_pps_pc,14769.7,21309.9,6540.200000000001,-1460.699999999999,-2819.199999999997,-1358.4999999999982,-0.9300335455603472,diverging,12,6
C2,ltu_rate,16.4,5.4,-10.999999999999998,12.799999999999999,3.7,9.099999999999998,0.7109374999999999,converging,1,1
C3,real_wages_idx,76.91,68.18,-8.72999999999999,-24.52000000000001,-43.66999999999999,-19.149999999999977,-0.7809951060358878,diverging,2,1
C3,real_income_idx,67.79,84.13,16.33999999999999,-34.459999999999994,-36.46000000000001,-2.000000000000014,-0.0580383052814862,flat,1,1
C3,arop_threshold_real,65.14,78.77,13.629999999999995,-41.315,-40.33500000000001,0.9799999999999898,0.02372019847512985,flat,1,1
C3,pct_below_peak,24.836601307189543,11.204481792717086,-13.632119514472457,24.836601307189543,11.204481792717086,13.632119514472457,0.5488721804511278,converging,1,1
C4,wadj_a01,141.89,173.09,31.200000000000017,14.669999999999987,52.120000000000005,-37.45000000000002,-2.5528289025221573,diverging,10,1
C5,hicp,-1.1,3.0,4.1,-1.2000000000000002,0.3999999999999999,0.8000000000000003,0.6666666666666667,"not applicable (annual rate, not a level)",25,9
C6,housing_cost_overburden,45.5,28.9,-16.6,36.8,22.2,14.599999999999998,0.3967391304347826,converging,1,1
P1,severe_mat_soc_deprivation,17.6,14.0,-3.6000000000000014,9.8,9.7,0.10000000000000142,0.010204081632653206,flat,4,3
--,subjective_poverty,77.7,66.7,-11.0,48.800000000000004,49.6,-0.7999999999999972,-0.01639344262295076,flat,1,1
--,arop,21.4,19.6,-1.7999999999999972,5.099999999999998,4.100000000000001,0.9999999999999964,0.1960784313725484,converging,7,7
--,arope,32.4,26.9,-5.5,9.899999999999999,7.299999999999997,2.6000000000000014,0.2626262626262628,converging,3,3
--,gap_subj_arop,56.3,47.1,-9.199999999999996,43.199999999999996,45.9,-2.700000000000003,-0.06250000000000007,flat,1,1
--,gap_subj_arope,45.3,39.8,-5.5,38.9,42.099999999999994,-3.1999999999999957,-0.08226221079691506,flat,1,1
