geo,time,real_gdp_pc
FI,2017,42910
FI,2018,43360
FI,2019,43910
FI,2020,42740
FI,2021,43800
FI,2022,44010
FI,2023,43280
FI,2024,43330
FR,2008,34960
FR,2009,33800
FR,2010,34310
FR,2011,34990
FR,2012,34880
FR,2013,34990
FR,2014,35150
FR,2015,35370
FR,2016,35540
FR,2017,36140
FR,2018,36570
FR,2019,37160
FR,2020,34230
FR,2021,36460
FR,2022,37280
FR,2023,37730
FR,2024,38180
HR,2008,12400
HR,2009,11570
HR,2010,11440
HR,2011,11470
HR,2012,11270
HR,2013,11340
HR,2014,11370
HR,2015,11760
HR,2016,12320
HR,2017,12910
HR,2018,13460
HR,2019,14020
HR,2020,12980
HR,2021,14750
HR,2022,15900
HR,2023,16490
HR,2024,17060
HU,2008,11690
HU,2009,10920
HU,2010,11060
HU,2011,11300
HU,2012,11220
HU,2013,11490
HU,2014,12040
HU,2015,12530
HU,2016,12880
HU,2017,13460
HU,2018,14240
HU,2019,14980
HU,2020,14370
HU,2021,15470
HU,2022,16160
HU,2023,16050
HU,2024,16210
IE,2008,46160
IE,2009,43390
IE,2010,43920
IE,2011,44450
IE,2012,44090
IE,2013,44830
IE,2014,48700
IE,2015,60150
IE,2016,60160
IE,2017,65290
IE,2018,69310
IE,2019,71640
IE,2020,75620
IE,2021,87150
IE,2022,92300
IE,2023,87630
IE,2024,89300
IS,2008,55580
IS,2009,50780
IS,2010,50250
IS,2011,51310
IS,2012,51570
IS,2013,52880
IS,2014,53280
IS,2015,54760
IS,2016,57320
IS,2017,57910
IS,2018,59120
IS,2019,58770
IS,2020,54190
IS,2021,56150
IS,2022,59720
IS,2023,61170
IS,2024,59270
IT,2008,31990
IT,2009,30110
IT,2010,30440
IT,2011,30550
IT,2012,29510
IT,2013,28920
IT,2014,28910
IT,2015,29210
IT,2016,29630
IT,2017,30160
IT,2018,30470
IT,2019,30680
IT,2020,28100
IT,2021,30760
IT,2022,32310
IT,2023,32630
IT,2024,32900
LT,2008,12640
LT,2009,10880
LT,2010,11160
LT,2011,12140
LT,2012,12830
LT,2013,13480
LT,2014,14100
LT,2015,14630
LT,2016,15200
LT,2017,16090
LT,2018,17030
LT,2019,17870
LT,2020,17890
LT,2021,19040
LT,2022,19350
LT,2023,19220
LT,2024,19690
LU,2008,106870
LU,2009,101540
LU,2010,103430
LU,2011,102120
LU,2012,101440
LU,2013,102010
LU,2014,102250
LU,2015,102530
LU,2016,104920
LU,2017,104020
LU,2018,103640
LU,2019,104310
LU,2020,102190
LU,2021,107570
LU,2022,104100
LU,2023,102250
LU,2024,101000
LV,2008,12900
LV,2009,11020
LV,2010,10840
LV,2011,11380
LV,2012,12360
LV,2013,12750
LV,2014,13140
LV,2015,13750
LV,2016,14230
LV,2017,14850
LV,2018,15610
LV,2019,15820
LV,2020,15370
LV,2021,16580
LV,2022,16890
LV,2023,16770
LV,2024,16910
MD,2015,3310
MD,2016,3500
MD,2017,3710
MD,2018,3930
MD,2019,4140
MD,2020,3840
MD,2021,4440
MD,2022,4340
MD,2023,4580
MD,2024,4640
ME,2008,6400
ME,2009,6010
ME,2010,6160
ME,2011,6360
ME,2012,6190
ME,2013,6390
ME,2014,6530
ME,2015,6690
ME,2016,6910
ME,2017,7120
ME,2018,7460
ME,2019,7780
ME,2020,6610
ME,2021,7500
ME,2022,8100
ME,2023,8620
ME,2024,8890
MK,2008,4470
MK,2009,4480
MK,2010,4660
MK,2011,4800
MK,2012,4790
MK,2013,4950
MK,2014,5140
MK,2015,5360
MK,2016,5530
MK,2017,5610
MK,2018,5800
MK,2019,6070
MK,2020,5840
MK,2021,6170
MK,2022,6360
MK,2023,6540
MK,2024,6750
MT,2008,20060
MT,2009,19630
MT,2010,20750
MT,2011,20860
MT,2012,21540
MT,2013,22600
MT,2014,23840
MT,2015,25520
MT,2016,25960
MT,2017,28530
MT,2018,29510
MT,2019,29480
MT,2020,27870
MT,2021,31420
