geo,time,housing_cost_overburden
EE,2016,4.9
EE,2017,4.8
EE,2018,4.0
EE,2019,4.4
EE,2020,4.4
EE,2021,4.4
EE,2022,4.9
EE,2023,7.6
EE,2024,8.6
EL,2015,45.5
EL,2016,40.5
EL,2017,39.6
EL,2018,39.5
EL,2019,36.2
EL,2020,33.3
EL,2021,28.8
EL,2022,26.7
EL,2023,28.5
EL,2024,28.9
ES,2015,10.3
ES,2016,10.2
ES,2017,9.8
ES,2018,8.9
ES,2019,8.5
ES,2020,8.2
ES,2021,9.9
ES,2022,9.2
ES,2023,8.2
ES,2024,7.8
EU,2015,11.4
EU,2016,11.1
EU,2017,10.4
EU,2018,10.3
EU,2019,10.1
EU27_2007,2015,11.4
EU27_2007,2016,11.1
EU27_2007,2017,10.5
EU27_2007,2018,10.3
EU27_2007,2019,10.2
EU27_2020,2015,11.2
EU27_2020,2016,10.9
EU27_2020,2017,10.1
EU27_2020,2018,9.6
EU27_2020,2019,9.4
EU27_2020,2020,7.8
EU27_2020,2021,8.7
EU27_2020,2022,8.7
EU27_2020,2023,8.8
EU27_2020,2024,8.2
EU28,2015,11.4
EU28,2016,11.1
EU28,2017,10.4
EU28,2018,10.3
EU28,2019,10.1
FI,2015,4.9
FI,2016,4.4
FI,2017,4.3
FI,2018,4.3
FI,2019,4.0
FI,2020,4.1
FI,2021,4.3
FI,2022,5.4
FI,2023,5.5
FI,2024,5.4
FR,2015,5.7
FR,2016,5.2
FR,2017,5.0
FR,2018,4.7
FR,2019,5.5
FR,2020,5.6
FR,2022,6.5
FR,2023,6.5
FR,2024,7.0
HR,2015,7.2
HR,2016,6.4
HR,2017,5.8
HR,2018,5.1
HR,2019,4.7
HR,2020,4.2
HR,2021,4.5
HR,2022,3.8
HR,2023,4.0
HR,2024,3.7
HU,2015,8.5
HU,2016,8.8
HU,2017,10.7
HU,2018,9.6
HU,2019,3.9
HU,2020,3.7
HU,2021,2.7
HU,2022,8.1
HU,2023,7.3
HU,2024,9.0
IE,2015,4.7
IE,2016,4.6
IE,2017,4.5
IE,2018,3.4
IE,2019,5.2
IE,2020,4.2
IE,2021,2.6
IE,2022,3.7
IE,2023,4.7
IE,2024,4.5
IS,2015,8.2
IS,2016,6.3
IS,2017,8.4
IS,2018,8.9
IS,2019,12.6
IS,2020,13.1
IT,2015,8.6
IT,2016,9.6
IT,2017,8.2
IT,2018,8.2
IT,2019,8.7
IT,2020,7.2
IT,2021,7.2
IT,2022,6.6
IT,2023,5.7
IT,2024,5.1
LT,2015,9.1
LT,2016,7.8
LT,2017,7.2
LT,2018,5.6
LT,2019,4.8
LT,2020,2.7
LT,2021,2.7
LT,2022,3.5
LT,2023,5.2
LT,2024,6.2
LU,2015,6.0
LU,2016,7.0
LU,2017,7.1
LU,2018,9.3
LU,2019,10.1
LU,2020,8.5
LU,2021,5.1
LU,2022,9.0
LU,2023,11.5
LU,2024,8.0
LV,2015,8.1
LV,2016,7.0
LV,2017,6.9
LV,2018,6.7
LV,2019,5.4
LV,2020,4.8
LV,2021,4.9
LV,2022,5.4
LV,2023,7.2
LV,2024,6.7
ME,2015,16.8
ME,2016,16.5
ME,2017,15.1
ME,2018,14.7
ME,2019,11.7
ME,2020,9.4
ME,2021,8.0
ME,2022,5.8
ME,2023,6.1
MK,2015,12.3
MK,2016,12.5
MK,2017,11.7
MK,2018,10.2
MK,2019,9.9
MK,2020,8.5
MK,2021,7.8
MK,2022,8.9
MK,2023,8.5
MK,2024,5.6
MT,2015,1.1
MT,2016,1.4
MT,2017,1.4
MT,2018,1.7
MT,2019,2.6
MT,2020,2.8
MT,2021,2.7
MT,2022,2.9
MT,2023,6.0
MT,2024,5.9
NL,2015,14.9
NL,2016,10.7
NL,2017,9.4
NL,2018,9.4
NL,2019,9.9
NL,2020,8.3
NL,2021,8.3
NL,2022,10.0
NL,2023,9.3
NL,2024,6.9
NO,2015,9.4
NO,2016,9.7
NO,2017,9.3
NO,2018,10.6
NO,2019,10.5
NO,2020,9.4
NO,2021,10.9
NO,2022,12.4
NO,2023,13.9
NO,2024,15.4
PL,2015,8.7
PL,2016,7.7
PL,2017,6.7
PL,2018,6.2
PL,2019,6.0
PL,2020,4.9
PL,2021,5.7
PL,2022,5.6
PL,2023,5.9
PL,2024,5.2
PT,2015,9.1
PT,2016,7.5
PT,2017,6.7
PT,2018,5.7
PT,2019,5.7
PT,2020,4.1
PT,2021,5.9
PT,2022,5.0
PT,2023,4.9
PT,2024,6.9
RO,2015,15.9
RO,2016,14.4
RO,2017,12.3
RO,2018,10.3
RO,2019,8.6
RO,2020,7.1
RO,2021,7.5
RO,2022,8.5
RO,2023,9.1
RO,2024,4.7
RS,2015,33.7
RS,2016,31.0
RS,2017,33.6
RS,2018,31.3
RS,2019,22.7
RS,2020,19.5
RS,2021,16.6
RS,2022,14.8
RS,2023,15.4
RS,2024,11.4
SE,2015,8.7
SE,2016,8.5
SE,2017,8.4
SE,2018,8.3
SE,2019,9.4
SE,2020,8.3
SE,2021,8.5
SE,2022,9.1
SE,2023,10.9
SE,2024,10.6
SI,2015,6.1
SI,2016,5.7
SI,2017,5.2
SI,2018,4.9
SI,2019,4.1
SI,2020,4.4
SI,2021,4.1
SI,2022,4.1
SI,2023,3.7
SI,2024,3.8
SK,2015,9.1
SK,2016,7.7
SK,2017,8.4
SK,2018,4.1
SK,2019,5.7
SK,2020,3.2
SK,2021,7.1
SK,2022,2.5
SK,2023,5.9
SK,2024,6.4
TR,2015,10.5
TR,2016,10.1
TR,2017,9.5
TR,2018,9.7
TR,2019,10.5
TR,2020,10.2
TR,2021,11.5
TR,2022,11.2
TR,2023,14.4
TR,2024,14.8
UK,2015,12.4
UK,2016,12.3
UK,2017,12.4
UK,2018,15.1
XK,2018,11.3
