geo,time,unexpected_expenses
IE,2019,37.1
IE,2020,33.4
IE,2021,29.1
IE,2022,33.1
IE,2023,34.3
IE,2024,31.6
IS,2015,36.9
IS,2016,30.9
IS,2017,29.2
IS,2018,25.8
IS,2019,24.7
IS,2020,22.4
IT,2015,39.9
IT,2016,40.4
IT,2017,38.3
IT,2018,35.1
IT,2019,33.8
IT,2020,32.3
IT,2021,32.7
IT,2022,32.9
IT,2023,28.8
IT,2024,29.9
LT,2015,53.2
LT,2016,53.2
LT,2017,50.6
LT,2018,48.8
LT,2019,46.8
LT,2020,41.8
LT,2021,36.4
LT,2022,39.3
LT,2023,40.5
LT,2024,41.3
LU,2015,23.0
LU,2016,21.9
LU,2017,20.4
LU,2018,19.7
LU,2019,16.7
LU,2020,22.5
LU,2021,21.3
LU,2022,18.8
LU,2023,24.1
LU,2024,22.5
LV,2015,60.4
LV,2016,60.0
LV,2017,59.9
LV,2018,55.3
LV,2019,49.8
LV,2020,45.6
LV,2021,41.7
LV,2022,44.1
LV,2023,44.8
LV,2024,45.3
ME,2015,72.8
ME,2016,71.2
ME,2017,73.0
ME,2018,71.5
ME,2019,58.1
ME,2020,62.2
ME,2021,61.6
ME,2022,59.6
ME,2023,49.3
MK,2015,58.5
MK,2016,58.5
MK,2017,56.8
MK,2018,54.2
MK,2019,57.3
MK,2020,50.9
MK,2021,51.4
MK,2022,53.9
MK,2023,54.7
MK,2024,45.8
MT,2015,21.4
MT,2016,20.8
MT,2017,15.6
MT,2018,13.9
MT,2019,15.1
MT,2020,16.3
MT,2021,15.7
MT,2022,15.4
MT,2023,15.9
MT,2024,18.3
NL,2015,22.9
NL,2016,22.5
NL,2017,20.7
NL,2018,21.5
NL,2019,21.9
NL,2020,19.1
NL,2021,15.1
NL,2022,14.6
NL,2023,15.9
NL,2024,16.9
NO,2015,16.8
NO,2016,18.1
NO,2017,17.4
NO,2018,19.7
NO,2019,24.7
NO,2020,20.1
NO,2021,23.4
NO,2022,22.0
NO,2023,24.2
NO,2024,23.6
PL,2015,42.3
PL,2016,37.9
PL,2017,34.8
PL,2018,31.7
PL,2019,29.3
PL,2020,25.7
PL,2021,24.5
PL,2022,27.1
PL,2023,25.7
PL,2024,22.8
PT,2015,40.7
PT,2016,38.3
PT,2017,36.9
PT,2018,34.7
PT,2019,33.0
PT,2020,30.8
PT,2021,31.2
PT,2022,29.9
PT,2023,30.5
PT,2024,28.7
RO,2015,51.4
RO,2016,54.5
RO,2017,52.5
RO,2018,45.9
RO,2019,44.3
RO,2020,47.3
RO,2021,47.3
RO,2022,47.9
RO,2023,46.4
RO,2024,40.0
RS,2015,47.3
RS,2016,48.3
RS,2017,44.1
RS,2018,39.8
RS,2019,36.8
RS,2020,36.5
RS,2021,35.4
RS,2022,35.0
RS,2023,34.5
RS,2024,34.0
SE,2015,19.8
SE,2016,20.7
SE,2017,19.7
SE,2018,20.2
SE,2019,20.5
SE,2020,19.8
SE,2021,18.4
SE,2022,21.2
SE,2023,21.8
SE,2024,22.3
SI,2015,42.9
SI,2016,41.7
SI,2017,37.1
SI,2018,33.1
SI,2019,33.0
SI,2020,29.6
SI,2021,24.6
SI,2022,24.6
SI,2023,22.7
SI,2024,23.2
SK,2015,36.7
SK,2016,37.9
SK,2017,34.6
SK,2018,31.5
SK,2019,30.0
SK,2020,26.1
SK,2021,27.0
SK,2022,27.0
SK,2023,29.3
SK,2024,28.2
TR,2015,32.6
TR,2016,34.4
TR,2017,31.7
TR,2018,30.4
TR,2019,29.7
TR,2020,32.2
TR,2021,33.4
TR,2022,31.1
TR,2023,31.8
TR,2024,26.8
UK,2015,38.4
UK,2016,38.0
UK,2017,32.9
UK,2018,34.6
XK,2018,47.3
