geo,time,real_wage_idx2008
AT,2000,97.6107987074468
AT,2001,96.84106771293834
AT,2002,97.19717724030193
AT,2003,97.59379794204328
AT,2004,97.66100471067011
AT,2005,97.56065214843665
AT,2006,98.8840792477579
AT,2007,99.6080529564572
AT,2008,100.0
AT,2009,100.81859864033358
AT,2010,100.19403045171066
AT,2011,98.7830144220066
AT,2012,98.81010376572895
AT,2013,98.80077646413046
AT,2014,99.09122836510716
AT,2015,100.23330528278174
AT,2016,101.59300397329427
AT,2017,100.9519853340158
AT,2018,101.6459224144663
AT,2019,102.94269913848127
AT,2020,103.281705651034
AT,2021,103.47360054349969
AT,2022,99.8287016525708
AT,2023,99.0074471593275
AT,2024,103.1656181125383
BE,2000,94.71276676525378
BE,2001,95.85204689050872
BE,2002,98.29216812804854
BE,2003,98.74636948117958
BE,2004,98.66645924806508
BE,2005,97.94902960337372
BE,2006,99.1114594507973
BE,2007,100.7838359460284
BE,2008,100.0
BE,2009,101.10879350100966
BE,2010,100.23646417924196
BE,2011,100.10962691407003
BE,2012,100.787960019564
BE,2013,101.92395624118106
BE,2014,102.46256069607465
BE,2015,102.01773993555577
BE,2016,100.9958537531537
BE,2017,100.70138563323133
BE,2018,100.21604329815482
BE,2019,101.02966498893711
BE,2020,99.35964382950232
BE,2021,101.02815039450664
BE,2022,98.46249472379
BE,2023,103.51983952398406
BE,2024,102.5851016153395
BG,2000,83.70938267454984
BG,2001,88.38309702728264
BG,2002,88.45887859115106
BG,2003,90.02153379849356
BG,2004,89.82203742322704
BG,2005,92.4814689144944
BG,2006,91.5263471480918
BG,2007,95.8472290751169
BG,2008,100.0
BG,2009,105.47330785532574
BG,2010,112.5095686783104
BG,2011,116.17894257640208
BG,2012,122.25344160781488
BG,2013,132.50824074643728
BG,2014,142.18529014682946
BG,2015,151.82914129726572
BG,2016,162.78341724049145
BG,2017,177.7698642596441
BG,2018,189.96101517346992
BG,2019,198.24405474897603
BG,2020,209.8810943557856
BG,2021,227.1176268574196
BG,2022,229.41654487384923
BG,2023,239.63849497051305
BG,2024,266.50164419150013
CY,2000,89.92329452347965
CY,2001,91.16187924537564
CY,2002,93.05817698723838
CY,2003,95.10859576233784
CY,2004,95.71475866681946
CY,2005,100.91549814105244
CY,2006,103.06207715728996
CY,2007,101.56053149634867
CY,2008,100.0
CY,2009,105.37661422305924
CY,2010,103.91551276740724
CY,2011,102.6951041077716
CY,2012,101.32347191662724
CY,2013,95.60402308626551
CY,2014,92.38468213383142
CY,2015,92.58679362438112
CY,2016,92.86783815335713
CY,2017,93.66943180937564
CY,2018,94.67792914618944
CY,2019,99.36920017405012
CY,2020,101.02387334744216
CY,2021,103.29691397189438
CY,2022,102.52507494007207
CY,2023,107.89494726793964
CY,2024,108.95583949413898
CZ,2000,52.10477251955027
CZ,2001,56.52313667910597
CZ,2002,66.39984646605438
CZ,2003,69.24042761020256
CZ,2004,72.7851080643406
CZ,2005,79.67038227606731
CZ,2006,86.87929282310064
CZ,2007,91.50184234681537
CZ,2008,100.0
CZ,2009,93.24857541019352
CZ,2010,100.05963189891824
CZ,2011,103.52463552338376
CZ,2012,99.32678426010158
CZ,2013,94.7654514222678
CZ,2014,91.468424186004
CZ,2015,95.05574245397628
CZ,2016,99.95706161903588
CZ,2017,107.6517681796103
CZ,2018,117.3695852251019
CZ,2019,123.14508085263824
CZ,2020,120.28167471051296
CZ,2021,127.51806447930564
CZ,2022,123.9430812956489
CZ,2023,121.2010036912754
CZ,2024,119.12307359435992
DE,2000,104.53156308230272
DE,2001,104.54583705428924
DE,2002,104.50471475305362
DE,2003,105.3514683063745
DE,2004,104.0384402204081
DE,2005,102.24164671297662
DE,2006,101.69126931214636
DE,2007,100.38974405777245
DE,2008,100.0
DE,2009,100.23170994595064
DE,2010,101.53350334639164
DE,2011,102.03725636594632
DE,2012,102.57850490106468
DE,2013,102.9948990709192
DE,2014,105.32049884024
DE,2015,107.60831197803456
DE,2016,109.7335654521828
DE,2017,110.89618469748822
DE,2018,112.30072305140231
DE,2019,114.3655291210838
DE,2020,114.34638631277022
DE,2021,114.32478482315456
DE,2022,109.72531958976316
DE,2023,109.85231331552735
DE,2024,112.72114662345946
DK,2000,88.63922892017895
DK,2001,90.107007802425
DK,2002,91.57343224067304
DK,2003,93.10140250015424
DK,2004,94.99310677140858
DK,2005,96.18166666624283
DK,2006,97.71848311356926
DK,2007,99.78825594314296
DK,2008,100.0
DK,2009,101.92691420444376
DK,2010,102.97835987406164
DK,2011,101.73076193442374
DK,2012,101.23080826585142
DK,2013,102.13741977102872
DK,2014,103.22747978697532
DK,2015,104.6649091938768
DK,2016,106.29716276797645
DK,2017,106.96823115641952
DK,2018,107.90715397294588
DK,2019,108.90518164440584
DK,2020,111.39763008195524
DK,2021,112.941456669058
DK,2022,106.74649848088856
DK,2023,106.9827049777878
DK,2024,110.235229661665
EE,2000,55.12825023507722
EE,2001,57.439549721099745
EE,2002,61.085106698331664
EE,2003,67.00762077826899
EE,2004,73.04928599303466
EE,2005,77.59201720131608
EE,2006,85.24258860092215
EE,2007,100.34360695442103
EE,2008,100.0
EE,2009,96.07614936750429
EE,2010,95.97786511422451
EE,2011,93.26037739873225
