geo,time,youth_unemployment_rate
HR,2011,36.1
HR,2012,42.5
HR,2013,50.5
HR,2014,45.7
HR,2015,42.3
HR,2016,30.9
HR,2017,27.4
HR,2018,23.5
HR,2019,16.7
HR,2020,20.6
HR,2021,21.5
HR,2022,17.7
HR,2023,18.9
HR,2024,16.8
HU,2009,25.8
HU,2010,25.9
HU,2011,25.4
HU,2012,27.8
HU,2013,26.1
HU,2014,20.1
HU,2015,17.1
HU,2016,12.7
HU,2017,10.5
HU,2018,9.9
HU,2019,11.4
HU,2020,12.7
HU,2021,13.6
HU,2022,10.6
HU,2023,12.8
HU,2024,15.2
IE,2009,24.5
IE,2010,28.1
IE,2011,29.6
IE,2012,30.8
IE,2013,26.7
IE,2014,23.4
IE,2015,20.2
IE,2016,16.8
IE,2017,14.4
IE,2018,13.8
IE,2019,12.5
IE,2020,15.8
IE,2021,14.6
IE,2022,10.1
IE,2023,10.7
IE,2024,10.6
IS,2009,15.9
IS,2010,16.2
IS,2011,14.4
IS,2012,13.5
IS,2013,10.6
IS,2014,9.8
IS,2015,8.8
IS,2016,6.5
IS,2017,7.9
IS,2018,6.1
IS,2019,8.7
IS,2020,10.0
IS,2021,12.1
IS,2022,8.7
IS,2023,8.8
IS,2024,9.1
IT,2009,25.4
IT,2010,28.0
IT,2011,29.2
IT,2012,35.3
IT,2013,40.0
IT,2014,42.7
IT,2015,40.3
IT,2016,37.7
IT,2017,34.6
IT,2018,32.2
IT,2019,29.2
IT,2020,29.8
IT,2021,29.7
IT,2022,23.7
IT,2023,22.7
IT,2024,20.3
LT,2009,29.6
LT,2010,35.7
LT,2011,32.6
LT,2012,26.7
LT,2013,21.9
LT,2014,19.3
LT,2015,16.3
LT,2016,14.5
LT,2017,13.3
LT,2018,11.1
LT,2019,11.9
LT,2020,19.6
LT,2021,14.3
LT,2022,11.9
LT,2023,13.8
LT,2024,16.2
LU,2009,17.2
LU,2010,14.2
LU,2011,16.8
LU,2012,18.8
LU,2013,15.5
LU,2014,22.6
LU,2015,17.3
LU,2016,18.9
LU,2017,15.4
LU,2018,14.2
LU,2019,17.0
LU,2020,23.2
LU,2021,16.9
LU,2022,17.6
LU,2023,18.8
LU,2024,21.6
LV,2009,33.4
LV,2010,36.2
LV,2011,31.0
LV,2012,28.5
LV,2013,23.2
LV,2014,19.6
LV,2015,16.3
LV,2016,17.5
LV,2017,17.0
LV,2018,12.2
LV,2019,12.7
LV,2020,14.9
LV,2021,14.8
LV,2022,15.3
LV,2023,12.3
LV,2024,13.6
ME,2011,36.6
ME,2012,42.2
ME,2013,40.5
ME,2014,35.8
ME,2015,37.6
ME,2016,35.9
ME,2017,31.7
ME,2018,29.4
ME,2019,25.2
ME,2020,36.0
MK,2009,55.1
MK,2010,53.7
MK,2011,55.3
MK,2012,53.9
MK,2013,51.9
MK,2014,53.1
MK,2015,47.3
MK,2016,48.2
MK,2017,46.7
MK,2018,45.4
MK,2019,35.6
MK,2020,35.7
MK,2021,36.1
MK,2022,32.7
MK,2023,29.4
MK,2024,28.9
MT,2009,14.5
MT,2010,13.2
MT,2011,13.3
MT,2012,13.8
MT,2013,12.7
MT,2014,11.7
MT,2015,11.6
MT,2016,10.7
MT,2017,10.6
MT,2018,9.4
MT,2019,10.1
MT,2020,11.5
MT,2021,9.9
MT,2022,9.0
MT,2023,9.2
MT,2024,9.2
NL,2009,11.6
NL,2010,12.4
NL,2011,11.4
NL,2012,12.9
NL,2013,14.2
NL,2014,13.8
NL,2015,12.5
NL,2016,12.1
NL,2017,10.4
NL,2018,8.9
NL,2019,8.5
NL,2020,10.6
NL,2021,9.3
NL,2022,7.6
NL,2023,8.2
NL,2024,8.7
NO,2009,11.0
NO,2010,11.8
NO,2011,10.7
NO,2012,10.7
NO,2013,11.5
NO,2014,10.0
NO,2015,12.3
NO,2016,13.0
NO,2017,12.6
NO,2018,11.4
NO,2019,11.7
NO,2020,13.2
NO,2021,12.6
NO,2022,10.0
NO,2023,11.0
NO,2024,12.1
PL,2009,21.0
PL,2010,24.0
PL,2011,26.0
PL,2012,26.8
PL,2013,27.6
PL,2014,24.1
PL,2015,21.0
PL,2016,17.8
PL,2017,14.9
PL,2018,11.8
PL,2019,9.7
PL,2020,10.8
PL,2021,11.9
PL,2022,10.8
PL,2023,11.4
PL,2024,10.8
PT,2009,25.3
PT,2010,28.0
PT,2011,30.4
PT,2012,38.2
PT,2013,38.6
PT,2014,34.7
PT,2015,31.8
PT,2016,27.8
PT,2017,23.8
PT,2018,20.2
PT,2019,18.4
PT,2020,22.4
PT,2021,23.4
PT,2022,19.2
PT,2023,20.5
PT,2024,21.6
RO,2009,24.8
RO,2010,28.0
RO,2011,29.4
RO,2012,28.2
RO,2013,29.6
RO,2014,30.0
RO,2015,27.3
RO,2016,25.9
RO,2017,23.0
RO,2018,20.5
RO,2019,21.0
RO,2020,21.6
RO,2021,21.0
RO,2022,22.8
RO,2023,21.8
RO,2024,23.9
RS,2010,48.4
RS,2011,53.1
RS,2012,53.2
RS,2013,51.7
RS,2014,49.1
RS,2015,44.6
RS,2016,36.2
RS,2017,33.1
RS,2018,30.9
RS,2019,29.3
RS,2020,27.3
RS,2021,26.0
RS,2022,24.3
RS,2023,25.0
RS,2024,23.0
SE,2005,22.2
SE,2006,20.9
SE,2007,18.6
SE,2008,19.6
SE,2009,24.4
SE,2010,24.1
SE,2011,22.1
SE,2012,22.9
SE,2013,22.8
SE,2014,22.2
SE,2015,19.7
SE,2016,18.2
SE,2017,17.1
SE,2018,16.8
SE,2019,19.3
SE,2020,23.6
SE,2021,24.7
SE,2022,21.7
SE,2023,22.1
SE,2024,24.3
SI,2009,13.8
SI,2010,14.7
SI,2011,15.9
SI,2012,20.8
SI,2013,21.6
SI,2014,20.5
SI,2015,16.4
SI,2016,15.3
SI,2017,11.3
SI,2018,8.9
SI,2019,8.1
SI,2020,14.3
SI,2021,12.8
SI,2022,10.1
SI,2023,9.9
SI,2024,10.9
SK,2009,28.5
SK,2010,34.9
SK,2011,34.8
SK,2012,35.3
SK,2013,34.9
SK,2014,31.0
SK,2015,27.7
SK,2016,23.4
SK,2017,20.0
SK,2018,15.8
SK,2019,17.1
SK,2020,20.4
SK,2021,20.6
SK,2022,19.9
SK,2023,19.8
SK,2024,19.2
TR,2009,22.8
TR,2010,19.7
TR,2011,16.7
TR,2012,15.7
TR,2013,16.9
TR,2014,17.8
TR,2015,18.5
TR,2016,19.5
TR,2017,20.5
TR,2018,20.2
TR,2019,25.2
TR,2020,25.1
TR,2021,22.7
TR,2022,19.5
TR,2023,17.5
TR,2024,16.4
