geo,time,aic_pps_pc
ME,2018,11865.3
ME,2019,12473.9
ME,2020,12342.6
ME,2021,12790.7
ME,2022,15071.0
ME,2023,16896.8
ME,2024,18922.5
MK,2015,8330.9
MK,2016,8536.6
MK,2017,8758.5
MK,2018,9205.9
MK,2019,9668.0
MK,2020,9623.4
MK,2021,10666.6
MK,2022,11444.1
MK,2023,11955.6
MK,2024,12467.1
MT,2015,16230.4
MT,2016,16494.2
MT,2017,17037.5
MT,2018,18006.3
MT,2019,18707.2
MT,2020,17380.8
MT,2021,18948.5
MT,2022,20328.8
MT,2023,23054.8
MT,2024,24129.1
NL,2015,22810.0
NL,2016,22703.8
NL,2017,23638.5
NL,2018,24461.9
NL,2019,24584.2
NL,2020,24051.6
NL,2021,26278.2
NL,2022,29426.6
NL,2023,31056.8
NL,2024,32491.2
NO,2015,27432.6
NO,2016,27164.7
NO,2017,28712.3
NO,2018,29916.2
NO,2019,29902.9
NO,2020,28395.5
NO,2021,32522.5
NO,2022,37136.7
NO,2023,36552.0
NO,2024,37235.1
PL,2015,13384.2
PL,2016,13575.4
PL,2017,14367.3
PL,2018,15060.5
PL,2019,15778.5
PL,2020,16012.3
PL,2021,17531.9
PL,2022,19189.4
PL,2023,20101.3
PL,2024,21610.1
PT,2015,15936.2
PT,2016,16332.4
PT,2017,16604.9
PT,2018,17246.3
PT,2019,17927.9
PT,2020,16927.2
PT,2021,18210.3
PT,2022,20584.0
PT,2023,22201.7
PT,2024,23356.1
RO,2015,10554.7
RO,2016,11483.2
RO,2017,12952.5
RO,2018,14157.9
RO,2019,15281.6
RO,2020,15181.0
RO,2021,16617.0
RO,2022,18368.7
RO,2023,19918.5
RO,2024,21712.3
RS,2015,8888.5
RS,2016,8951.9
RS,2017,9261.3
RS,2018,9611.6
RS,2019,10108.1
RS,2020,10066.0
RS,2021,11025.8
RS,2022,12199.7
RS,2023,13380.7
RS,2024,14741.8
SE,2015,23147.4
SE,2016,23161.3
SE,2017,23409.6
SE,2018,23794.4
SE,2019,23994.3
SE,2020,23663.2
SE,2021,25409.0
SE,2022,26378.9
SE,2023,27487.1
SE,2024,28736.0
SI,2015,14589.1
SI,2016,15090.3
SI,2017,15714.7
SI,2018,16408.2
SI,2019,17397.6
SI,2020,16737.7
SI,2021,18918.4
SI,2022,21316.9
SI,2023,22147.2
SI,2024,23355.4
SK,2015,13447.6
SK,2016,13054.7
SK,2017,13401.5
SK,2018,13755.4
SK,2019,14406.7
SK,2020,15094.5
SK,2021,16235.4
SK,2022,18254.3
SK,2023,19430.1
SK,2024,20598.1
TR,2015,12115.8
TR,2016,11994.5
TR,2017,12251.7
TR,2018,11634.0
TR,2019,11409.3
TR,2020,11245.5
TR,2021,11813.8
TR,2022,14071.2
TR,2023,15915.6
TR,2024,17340.0
